Name,Nat,Moving from,Moving to,Fee
Gianluca Nicco,Italy,Ivrea,Mantova,Undisclosed
Manuel Angelilli,Italy,Milan ( youth ),Pro Vercelli,?
Alessandro Elia,Italy,Parma ( youth ),Bellaria,Loan
Nebil Caidi,Italy,Cesena,Giacomense,"Co-ownership , Undisclosed"
Daniele Piro,Italy,Chievo,Cosenza,"Co-ownership , Undisclosed"
Alessio Curcio,Italy,Juventus ( youth ),Casale,?
Emiliano Tortolano,Italy,Roma ( youth ),Colligiana,Free
Michael Perrier,Switzerland,Genoa,Lugano,Loan
Giorgio Merlano,Italy,Juventus,Canavese,Loan
Rubén Olivera,Uruguay,Juventus,Peñarol,Free
Gianluca Toscano,Italy,Grosseto,Fidene,Free
Diego Farias,Brazil,Chievo,Verona,
Oussama Essabr,Morocco,Juventus,Arezzo,
Gabriele Puccio,Italy,Internazionale,Portogruaro,"Co-ownership , Undisclosed"
Stefano Pondaco,Italy,Sampdoria,Portogruaro,"Co-ownership , Undisclosed"
Jonathan Bottinelli,Argentina,Sampdoria,San Lorenzo,Undisclosed
Massimo Coda,Italy,Bologna,Cremonese,Undisclosed
Filippo Noventa,Italy,Milan,Monza,Loan
Andrea Gasparri,Italy,Parma,Giulianova,
Mirko Savini,Italy,Palermo,PAOK,Free
