Opponent,S,Occurrences,GP,Rec,%
Dallas Stars,8,"1984 , 1991 , 1997 , 1998 , 1999 , 2000 , 2001 , 2003",42,2-6,.250
Los Angeles Kings,7,"1982 , 1985 , 1987 , 1989 , 1990 , 1991 , 1992",36,5-2,.714
Arizona Coyotes,6,"1983 , 1984 , 1985 , 1987 , 1988 , 1990",26,6-0,1.000
Calgary Flames,5,"1983 , 1984 , 1986 , 1988 , 1991",30,4-1,.800
Chicago Blackhawks,4,"1983 , 1985 , 1990 , 1992",20,3-1,.750
Detroit Red Wings,3,"1987 , 1988 , 2006",16,3-0,1.000
Philadelphia Flyers,3,"1980 , 1985 , 1987",15,2-1,.667
New York Islanders,3,"1981 , 1983 , 1984",15,1-2,.333
Boston Bruins,2,"1988 , 1990",9,2-0,1.000
San Jose Sharks,2,"2006 , 2017",12,2-0,1.000
Vancouver Canucks,2,"1986 , 1992",9,2-0,1.000
Anaheim Ducks,2,"2006 , 2017",12,1-1,.500
Colorado Avalanche,2,"1997 , 1998",12,1-1,.500
Montreal Canadiens,1,1981,3,1-0,1.000
Carolina Hurricanes,1,2006,7,0-1,.000
Totals,51,,264,35-16,.686
