Release,Composer/Title of work,Performer,Label/Catalog no,Format
2002/08,"Brahms Piano Quartet in G minor , Op . 25",Tatjana Masurenko ( viola ) Gustav Rivinius ( cello ) Lars Vogt ( piano ),EMI Classics 5573772,CD
2002/10,Vivaldi The Four Seasons,Academy of St. Martin in the Fields,Opus Arte/ BBC OA0895D,DVD-Video
2004/08,"Russian Violin Concertos Khachaturian Violin Concerto in D minor , op . 46 Prokofiev No . 1 in D major , Op . 19 Glazunov Violin Concerto in A minor , Op . 82",Russian National Orchestra Yakov Kreizberg ( conductor ),PENTATONE PTC 5186 059,Hybrid SACD
2005/03,"Bach Sonatas and Partitas for Solo Violin , BWV 1001-1006",,PENTATONE PTC 5186 072,Hybrid SACD
2005/08,"Mozart Violin Concertos Nos 3 & 4 Adagio in E major , K. 261 Rondo in B flat , K. 269",Netherlands Chamber Orchestra Yakov Kreizberg ( conductor ),PENTATONE PTC 5186 064,Hybrid SACD
2006/06,Mendelssohn Piano Trios Nos . 1 & 2,Jonathan Gilad ( piano ) Daniel Müller-Schott ( cello ),PENTATONE PTC 5186 085,Hybrid SACD
2006/09,"Mozart Violin Concertos Nos 1 , 2 & 5",Netherlands Chamber Orchestra Yakov Kreizberg ( conductor ),PENTATONE PTC 5186 094,Hybrid SACD
2006/10,"Tchaikovsky Violin Concerto in D major , Op . 35 Sérénade mélancolique , Op . 26 Valse - Scherzo , Op . 34 Souvenir d'un lieu cher , Op . 42","Russian National Orchestra Yakov Kreizberg ( conductor ) / ( piano , Op . 42 )",PENTATONE PTC 5186 095,Hybrid SACD
2007/04,"Brahms Violin Concerto in D major , Op . 77 Double Concerto in A minor , Op . 102",Netherlands Philharmonic Orchestra Yakov Kreizberg ( conductor ) Daniel Müller-Schott ( cello ),PENTATONE PTC 5186 066,Hybrid SACD
2007/10,"Mozart Sinfonia concertante for Violin , Viola and Orchestra in E flat , K. 364 Rondo in C major , K. 373 Concertone for 2 Violins and Orchestra in C major , K. 190","Netherlands Chamber Orchestra Yakov Kreizberg ( conductor ) Gordan Nikolic ( second solo violin , K. 190 ) / ( viola , K. 364 )",PENTATONE PTC 5186 098,Hybrid SACD
2009/01,"Bach Concert for 2 Violins , Strings and Continuo in D minor , BWV 1043 Violin Concerto in A minor , BWV 1041 Violin Concerto in E major , BWV 1042 Concerto for Violin and Oboe in C-Moll , BWV 1060","Academy of St. Martin in the Fields Alexander Sitkovetsky ( second solo violin , BWV 1043 ) Andrey Rubtsov ( oboe , BWV 1060 )",Decca 478 0650,CD
2009/08,"Schubert Complete Works for Violin and Piano , Volume 1 Sonata for Violin and Piano in D major , D. 384 ( Op . 137 , No . 1 ) Sonata for Violin and Piano in A minor , D. 385 ( Op . 137 , No . 2 ) Sonata for Violin and Piano in G minor , D. 408 ( Op . 137 , No . 3 ) Rondo for Violin and Piano in B minor Rondo Brillant , D. 895 ( Op . 70 )",Martin Helmchen ( piano ),PENTATONE PTC 5186 347,Hybrid SACD
2010/04,"Schubert Complete Works for Violin and Piano , Volume 2 Sonata for Violin and Piano in A major , D. 574 ( Op . posth . 162 ) Fantasy for Violin and Piano in C major , D. 934 ( Op . posth . 159 ) Fantasy in F minor for Piano duet , D. 940 ( Op . posth . 103 )","Martin Helmchen ( piano ) Julia Fischer ( first piano part , D. 940 )",PENTATONE PTC 5186 348,Hybrid SACD
2010/10,"Paganini 24 Caprices for Solo Violin , Op . 1",,Decca 478 2274,CD
2010/08,"Saint-Saëns Violin Concerto No . 3 in B minor , Op . 61 Grieg Piano Concerto in A minor , Op . 16",Junge Deutsche Philharmonie Matthias Pintscher ( conductor ),Decca 074 3344,DVD-Video
2011/01,Mozart - The Violin Concertos,"Julia Fischer , Gordan Nikolić , Pieter-Jan Belder , Hans Meyer , Herre-Jan Stegenga , Yakov Kreizberg ( conductor ) , Netherlands Chamber Orchestra",PENTATONE PTC 5186453,Hybrid SACD
2011/04,"Poème Respighi Poema autunnale for violin and orchestra , P.146 Suk Fantasy for violin and orchestra in G minor , Op . 24 Chausson Poème for violin and orchestra , Op . 25 Vaughan Williams The Lark Ascending",Orchestre Philharmonique de Monte-Carlo Yakov Kreizberg ( conductor ),Decca 478 2684,CD
2012/03,"In Memoriam Yakov Kreizberg . Works by Antonín Dvořák , Claude Debussy , Richard Wagner , Franz Schmidt , Johann Strauss Jr",Netherlands Philharmonic Orchestra Wiener Symphoniker Russian National Orchestra . Yakov Kreizberg ( conductor ),PENTATONE PTC 5186461,Hybrid SACD
2013/03,"Dvořák Violin Concerto in A minor , Op.53 Bruch Violin Concerto No.1 in G minor , Op.26",Tonhalle Orchester Zürich David Zinman ( conductor ),Decca 478 3544,CD
2014/02,"Sarasate Zigeunerweisen , Op . 20 Caprice Basque , Op . 24 Jota Aragonesa , Op . 27 Sérénade andalouse , Op . 28 El canto del ruiseñor , Op . 29 Danza Española No . 1 : Malagueña , Op . 21 , No . 1 Danza Española No . 2 : Habanera , Op . 21 , No . 2 Danza Española No . 3 : Romanza Andaluza , Op . 22 , No . 1 Danza Española No . 4 : Jota Navarra , Op . 22 , No . 2 Danza Española No . 5 : Playera Op . 23 No . 1 Danza Española No . 6 : Zapateado , Op . 23 , No . 2 Danza Española No . 7 : Vito , Op . 26 , No . 1 Danza Española No . 8 : Habanera , Op . 26 , No . 2",Milana Chernyavska ( piano ),Decca 478 5950,CD
