Team,Home town/suburb,Home ground
Arklow Town,Arklow,Lamberton Grass/Astro
Broadford Rovers,Dublin 16,Marlay Park
Dunboyne,Dunboyne,Summerhill Road
Dublin Bus,Clondalkin,Coldcut
Glebe North,Balbriggan,Market Green
Glenville,Palmerstown,Palmerstown School
Home Farm,"Whitehall , Dublin",Whitehall Stadium
Leixlip United,Leixlip,Leixlip Amenities Center
Portmarnock,Portmarnock,Paddys Hill
Newbridge Town,"Newbridge , County Kildare",Station Road
St. John Bosco,"Crumlin , Dublin",Iveagh Grounds
Swords Celtic,"Swords , Dublin",Balheary Reservoir
TEK United,"Blackrock , Dublin",Stradbrook Road
Verona,Coolmine,
