Year,Gold,Silver,Bronze,Host city ( cities ),Host country
2007,United States,Czech Republic,Germany,Düsseldorf,Germany
2008,Great Britain,United States,Canada,Philadelphia,United States
2009,Czech Republic,Canada,United States,Varese,Italy
2010,Czech Republic,United States,France,Düsseldorf,Germany
2011,Czech Republic,United States,France,Roccaraso,Italy
2012,Czech Republic,Colombia,United States,Bucaramanga,Colombia
2013,Czech Republic,United States,Canada,Anaheim,United States
2014,France,Canada,Czech Republic,Toulouse,France
2015,Czech Republic,France,Italy,Rosario,Argentina
2016,Czech Republic,Italy,Switzerland,"Asiago , Roana",Italy
2017,France,Spain,Italy,Nanjing,China
2018,United States,Italy,Spain,"Asiago , Roana ,",Italy
2019,Czech Republic,United States,Spain,Barcelona,Spain
2020,,,,Cartagena,Colombia
