Rank,Name,Nation,Total points,SP,FS
1,Artur Gachinskiy,Russia,189.59,2,2
2,Alban Préaubert,France,188.26,1,6
3,Javier Fernández,Spain,184.33,11,1
4,Konstantin Menshov,Russia,182.33,4,3
5,Chafik Besseghier,France,179.13,3,5
6,Aleksandr Kazakov,Belarus,170.86,16,4
7,Keiji Tanaka,Japan,169.46,8,7
8,Stéphane Walker,Switzerland,168.15,5,8
9,Daniel Dotzauer,Germany,162.53,6,9
10,Jason Wong,United States,148.71,10,13
11,Javier Raya,Spain,148.41,19,11
12,Ari-Pekka Nurmenkari,Finland,148.23,13,12
13,Konstantyn Tupikov,Poland,148.07,20,10
14,Michael Solonoski,United States,146.31,12,14
15,Takuya Kondoh,Japan,140.87,9,17
16,Matthew Parr,United Kingdom,138.65,14,15
17,Laurent Alvarez,Switzerland,135.77,15,18
18,Justus Strid,Denmark,135.44,17,16
19,Valtter Virtanen,Finland,131.14,18,19
20,Fabio Mascarello,Italy,128.27,21,20
