Year,Title,Artist,Credits
2001,Amnesiac,Radiohead,Engineer
2005,The Roads Do n't Love You,Gemma Hayes,Mixing
2006,Control,GoodBooks,"Producer , Mixing"
2007,In Rainbows,Radiohead,Engineer
2007,The Village,Fields,"Producer , Mixing"
2007,Track for 40 years of Radio 1,Kaiser Chiefs,"Producer , Mixing"
2007,Galore,Dragonette,Mixing
2009,Fixin to Thrill,Dragonette,"Co-Producer , Mixing"
2006,Ta-Dah,Scissor Sisters,"Additional Producer , Mixing"
2008,Last Night,Moby,Mixing
2009,Radio Wars,Howling Bells,Producer
2009,Sam Sparro ( album ),Sam Sparro,Mixing
2009,Slow Attack,Brett Anderson,Mixing
2009,Konk,The Kooks,"Producer , Mixing"
2010,Voyage,The Sound of Arrows,"Additional Producer , Mixing"
2010,Penguin Prison,Penguin Prison,"Additional Producer , Mixing"
2011,What You Wanted,Spector,"Producer , Mixing"
2011,Remixes,Hurts,Mixing
2011,What Did You Expect from The Vaccines ?,The Vaccines,Producer
2011,Bad Dream Hotline,Foe,Mixing
