English short name,English long name,Capital,Domestic long names,Independence,ISO 3 letter Alpha Code
Antigua and Barbuda,Antigua and Barbuda,St. John 's,English : Antigua and Barbuda,1981,ATG
Argentina,Argentine Republic,Buenos Aires,Spanish : República Argentina,1816,ARG
Bahamas,Commonwealth of The Bahamas,Nassau,English : Commonwealth of The Bahamas,1973,BHS
Barbados,Barbados,Bridgetown,English : Barbados,1966,BRB
Belize,Belize,Belmopan,English : Belize Spanish : Belice,1981,BLZ
Bolivia,Plurinational State of Bolivia,La Paz & Sucre,Spanish : Estado Plurinacional de Bolivia Quechua : Buliwya Mamallaqta Aymara : Wuliwya Suyu Guarani : Tetã Volívia,1825,BOL
Brazil,Federative Republic of Brazil,Brasília,Portuguese : República Federativa do Brasil,1822,BRA
Canada,Canada,Ottawa,English : Canada French : Canada,1931,CAN
Chile,Republic of Chile,Santiago,Spanish : República de Chile,1818,CHL
Colombia,Republic of Colombia,Bogotá,Spanish : República de Colombia,1810,COL
Costa Rica,Republic of Costa Rica,San José,Spanish : República de Costa Rica,1821,CRI
Cuba,Republic of Cuba,Havana,Spanish : República de Cuba,1902,CUB
Dominica,Commonwealth of Dominica,Roseau,English : Commonwealth of Dominica,1978,DMA
Dominican Republic,Dominican Republic,Santo Domingo,Spanish : República Dominicana,1844,DOM
Ecuador,Republic of Ecuador,Quito,Spanish : República del Ecuador,1822,ECU
El Salvador,Republic of El Salvador,San Salvador,Spanish : República de El Salvador,1821,SLV
Grenada,Grenada,St. George 's,English : Grenada,1974,GRD
Guatemala,Republic of Guatemala,Guatemala City,Spanish : República de Guatemala,1821,GTM
Guyana,Co-operative Republic of Guyana,Georgetown,English : Co-operative Republic of Guyana,1966,GUY
Haiti,Republic of Haiti,Port-au-Prince,French : République d'Haïti,1804,HTI
