Representative,District,County
George F. Alford,11,Trinity
William R. Anderson,8,Angelina
John Franklin Armstrong,61,Coryell
Robert A. Atkinson,64,Gonzales
James M. Baker,62,DeWitt
D.C. Barmore,68,Burnet
Flavius Josepheus Barrett,46,Wise
Joshua Runey Beauchamp,57,Milam
R.H. Bellamy,14,Panola
Reading Wood Black,72,Uvalde
Thomas William Blount,5,San Augustine
Thomas Reuben Bonner,12,Cherokee
L.D . Bradley,40,Freestone
John Thomas Brady,36,Harris
Nathaniel Macon Burford,44,Dallas
Edward Chambers,32,Collin
Juan Chaves,71,Bexar
Archelaus Cochran,44,Dallas
Nehemiah Cochran,48,Austin
M.W . Damron,59,Bell
