Name,Location,Type,Tenants/Notes
Addition Financial Arena,"Orlando , Florida",Multi-purpose indoor arena,UCF Knights
Adirondack Bank Center,"Utica , New York",Multi-purpose indoor arena,"Utica Comets , Utica City FC"
Alaska Airlines Arena,Seattle,Multi-purpose indoor arena,"Washington Huskies ( permanent ) , Seattle Storm ( temporary )"
Albertsons Stadium,"Boise , Idaho",Football stadium,Boise State Broncos football
Alerus Center,"Grand Forks , North Dakota",Multi-purpose indoor arena,North Dakota Fighting Hawks football
Alliant Energy Center,"Madison , Wisconsin",Multi-purpose indoor arena,
Allianz Field,"Saint Paul , Minnesota",Soccer-specific stadium,Minnesota United FC
Allstate Arena,"Rosemont , Illinois",Multi-purpose indoor arena,Chicago Wolves
Amalie Arena,"Tampa , Florida",Multi-purpose indoor arena,Tampa Bay Lightning
America First Event Center,"Cedar City , Utah",Multi-purpose indoor arena,Southern Utah Thunderbirds
American Airlines Arena,Miami,Multi-purpose indoor arena,Miami Heat
American Airlines Center,Dallas,Multi-purpose indoor arena,"Dallas Mavericks , Dallas Stars"
American Bank Center,"Corpus Christi , Texas",Multi-purpose indoor arena,"Texas A & M-Corpus Christi Islanders , Corpus Christi IceRays"
American Family Fields of Phoenix,"Phoenix , Arizona",Baseball stadium,"Milwaukee Brewers spring training , Arizona League Brewers"
Amway Center,"Orlando , Florida",Multi-purpose indoor arena,"Orlando Magic , Orlando Solar Bears , Orlando Predators"
Androscoggin Bank Colisée,"Lewiston , Maine",Multi-purpose indoor arena,Lewiston/Auburn Nordiques
Angel of the Winds Arena,"Everett , Washington",Multi-purpose indoor arena,"Everett Silvertips ( permanent ) , Seattle Storm ( temporary )"
Apogee Stadium,"Denton , Texas",Football stadium,North Texas Mean Green football
Appalachian Power Park,"Charleston , West Virginia",Baseball stadium,West Virginia Power
Arm & Hammer Park,"Trenton , New Jersey",Baseball stadium,Trenton Thunder
