,Name on the Register,Date listed,Location,City or town
1,Auburn Historic District,"July 14 , 2014 ( # 14000396 )","Downtown Commercial District , Courthouse Sq . & Courthouse Ave. 40°23′28″N 95°50′22″W / 40.3911°N 95.8394°W / 40.3911 ; -95.8394 ( Auburn Historic District )",Auburn
2,John W. Bennett House,"September 16 , 1983 ( # 83001099 )",Off Nebraska Highway 67 40°23′31″N 95°40′30″W / 40.39183°N 95.67497°W / 40.39183 ; -95.67497 ( John W. Bennett House ),Brownville
3,Brownville Bridge,"June 17 , 1993 ( # 93000536 )",U.S. Route 136 over the Missouri River 40°23′57″N 95°39′06″W / 40.399167°N 95.651667°W / 40.399167 ; -95.651667 ( Brownville Bridge ),Brownville
4,Brownville Historic District,"May 19 , 1970 ( # 70000374 )","Bounded by Allen , Richard , Nemaha , Nebraska , 7th , and 2nd Sts. , and the Missouri River 40°23′52″N 95°39′18″W / 40.397778°N 95.655°W / 40.397778 ; -95.655 ( Brownville Historic District )",Brownville
5,CAPTAIN MERIWETHER LEWIS ( dredge ),"October 28 , 1977 ( # 77000833 )",Southeast of Brownville 40°23′41″N 95°39′02″W / 40.394722°N 95.650556°W / 40.394722 ; -95.650556 ( CAPTAIN MERIWETHER LEWIS ( dredge ) ),Brownville
6,First United Presbyterian Church of Auburn,"July 15 , 1982 ( # 82003199 )",1322 19th St. 40°23′08″N 95°50′37″W / 40.385556°N 95.843611°W / 40.385556 ; -95.843611 ( First United Presbyterian Church of Auburn ),Auburn
7,Legion Memorial Park,"December 29 , 2004 ( # 04001407 )","Generally bounded by 10th St. , 11th St. , H St. , and J St. 40°23′39″N 95°50′14″W / 40.394167°N 95.837222°W / 40.394167 ; -95.837222 ( Legion Memorial Park )",Auburn
8,Thomas J. Majors Farmstead,"June 15 , 1978 ( # 78001707 )",West of Peru at 800 Mulberry St. 40°29′04″N 95°44′09″W / 40.484444°N 95.735833°W / 40.484444 ; -95.735833 ( Thomas J. Majors Farmstead ),Peru
9,Nemaha County Courthouse,"January 10 , 1990 ( # 89002243 )",1824 N St. 40°23′08″N 95°50′40″W / 40.385556°N 95.844444°W / 40.385556 ; -95.844444 ( Nemaha County Courthouse ),Auburn
10,New Opera House,"September 28 , 1988 ( # 88000936 )",921 Central Ave. 40°23′34″N 95°50′19″W / 40.39265°N 95.83854°W / 40.39265 ; -95.83854 ( New Opera House ),Auburn
11,Wilber T. Reed House,"March 24 , 1980 ( # 80002458 )",1204 N St. 40°23′33″N 95°50′40″W / 40.39253°N 95.84433°W / 40.39253 ; -95.84433 ( Wilber T. Reed House ),Auburn
12,St. John 's Lutheran Church Complex,"January 25 , 1979 ( # 79001452 )",63289 725 Rd . 40°20′00″N 95°57′26″W / 40.33341°N 95.95725°W / 40.33341 ; -95.95725 ( St. John 's Lutheran Church Complex ),Auburn
13,US Post Office-Auburn,"May 11 , 1992 ( # 92000480 )",1320 Courthouse Ave. 40°23′28″N 95°50′23″W / 40.39101°N 95.83974°W / 40.39101 ; -95.83974 ( US Post Office-Auburn ),Auburn
