Year,Title,Voice role
1999,Crash Team Racing,Coco Bandicoot
2004,EverQuest II,"Kerra , Wood Elf"
2006,Teen Titans,Starfire
2006,Dead or Alive Xtreme 2,Hitomi
2009,Cartoon Network Universe : FusionFall,Princess Bubblegum
2010,Ninety-Nine Nights II,Rinn
2010,Dead or Alive Paradise,Hitomi
2011,Kinect Disneyland Adventures,Alice
2012,Kid Icarus : Uprising,
2012,Final Fantasy XIII-2,Additional Voices
2013,Adventure Time : Explore the Dungeon Because I Do n't Know !,Princess Bubblegum
2014,Broken Age,"M'ggie , Ch't , Rose Maiden"
2014,The Lego Movie Videogame,Additional Voices
2014,Super Smash Bros. for Nintendo 3DS and Wii U,Viridi
2014,Kingdom Hearts HD 2.5 Remix,Alice
2015,Lego Dimensions,"Princess Bubblegum , Starfire"
2015,Adventure Time : Finn & Jake Investigations,Princess Bubblegum
2016,Skylanders Imaginators,Master Chopscotch
2018,Fallout 76,Additional Voices
2019,Marvel Ultimate Alliance 3 : The Black Order,Supergiant
