Recording or collection,Performer or agent,Year
Phonautograms,Édouard-Léon Scott de Martinville,ca . 1853-1861
Take Me Out to the Ball Game,"Edward Meeker , accompanied by the Edison Orchestra",1908
Yahi language cylinder recordings,"Ishi , last surviving member of the Yahi tribe",1911-1914
"Dark Was the Night , Cold Was the Ground",Blind Willie Johnson,1927
It 's the Girl,The Boswell Sisters with the Dorsey Brothers Orchestra,1931
Mal Hombre,Lydia Mendoza,1934
Tumbling Tumbleweeds,The Sons of the Pioneers,1934
Talking Union,The Almanac Singers,1941
Jazz at the Philharmonic,"Nat King Cole , Les Paul , Buddy Rich , others","July 2 , 1944"
Giovanni Pierluigi da Palestrina 's Pope Marcellus Mass,Roger Wagner Chorale,1951
The Eagle Stirreth Her Nest,Reverend C. L. Franklin,1953
Tipitina,Professor Longhair,1953
At Sunset,Mort Sahl,1955
Interviews with jazz musicians for the Voice of America,Willis Conover,1956
The Music from Peter Gunn,Henry Mancini,1958
"United Sacred Harp Musical Convention in Fyffe , Alabama",field recordings by Alan Lomax and Shirley Collins,1959
Blind Joe Death,John Fahey,"1959 , 1964 , 1967"
Stand by Your Man,Tammy Wynette,1968
Trout Mask Replica,Captain Beefheart and His Magic Band,1969
Songs of the Humpback Whale,"Frank Watlington , Roger Payne , and others",1970
