City,Winners,Runners-up,Winning clubs,Runners-up
Madrid,10,8,Real Madrid ( 10 ),Real Madrid ( 8 )
Moscow,8,6,CSKA Moscow ( 8 ),CSKA Moscow ( 6 )
Tel Aviv,6,9,Maccabi Tel Aviv ( 6 ),Maccabi Tel Aviv ( 9 )
Athens,6,2,Panathinaikos ( 6 ),"Panathinaikos ( 1 ) , AEK ( 1 )"
Varese,5,5,Pallacanestro Varese ( 5 ),Pallacanestro Varese ( 5 )
Piraeus,3,5,Olympiacos ( 3 ),Olympiacos ( 5 )
Milan,3,2,Olimpia Milano ( 3 ),Olimpia Milano ( 2 )
Riga,3,1,Rīgas ASK ( 3 ),Rīgas ASK ( 1 )
Split,3,1,Split ( 3 ),Split ( 1 )
Barcelona,2,5,FC Barcelona ( 2 ),FC Barcelona ( 5 )
Bologna,2,4,Virtus Bologna ( 2 ),"Virtus Bologna ( 3 ) , Fortitudo Bologna ( 1 )"
Cantù,2,0,Pallacanestro Cantù ( 2 ),
Zagreb,2,0,Cibona ( 2 ),
Istanbul,1,3,Fenerbahçe ( 1 ),"Fenerbahçe ( 2 ) , Anadolu Efes ( 1 )"
Tbilisi,1,1,Dinamo Tbilisi ( 1 ),Dinamo Tbilisi ( 1 )
Badalona,1,1,Joventut ( 1 ),Joventut ( 1 )
Kaunas,1,1,Žalgiris ( 1 ),Žalgiris ( 1 )
Sarajevo,1,0,Bosna ( 1 ),
Rome,1,0,Virtus Roma ( 1 ),
Belgrade,1,0,Partizan ( 1 ),
