Team name,Home city,Home venue,First year of current stint in League
ABS F.C,Ilorin,Kwara State Stadium,2011
Akwa United,Uyo,"Uyo Township Stadium /Rojenny Stadium , Oba",2011
Bayelsa United F.C,Yenegoa,Samson Siasia Stadium,2012
Dolphins,Port Harcourt,Liberation Stadium,2009
El-Kanemi Warriors,Maiduguri,El-Kanemi Stadium,2012
Enugu Rangers,Enugu,Nnamdi Azikiwe Stadium,1973
Enyimba,Aba,Enyimba International Stadium,1994
Gombe United,Gombe,Pantami Stadium,1994
Heartland,Owerri,Dan Anyiam Stadium,1975
Kaduna United,Kaduna,Kaduna Township Stadium,2008
Kano Pillars,Kano,Sani Abacha Stadium,2001
Kwara United,Ilorin,Kwara State Stadium,2009
Lobi Stars,Makurdi,"Emmanuel Atongo Stadium , Katsina-Ala/ Aper Aku Stadium",1999
Nasarawa United,Lafia,Lafia Township Stadium,2012
Nembe City F.C,Nembe,Samson Siasia Stadium,2012
Sharks,Port Harcourt,Sharks Stadium,2008
Shooting Stars,Ibadan,Awolowo Stadium,2009
Sunshine Stars,Akure,Akure Township Stadium,2007
Warri Wolves,Warri,Warri Township Stadium,2008
Wikki Tourists,Bauchi,Abubarkar Tafawa Balewa Stadium,2011
