Team,Location,Federal subject,Position in 1950
Budućnost,Titograd,SR Montenegro,003 3rd
Dinamo Pančevo,Pančevo,SAP Vojvodina,009 9th
Kvarner,Rijeka,SR Croatia,010 10th
Metalac Zagreb,Zagreb,SR Croatia,006 6th
Napredak,Kruševac,SR Serbia,N/A
Odred Ljubljana,Ljubljana,SR Slovenia,008 8th
Proleter Osijek,Osijek,SR Croatia,007 7th
Radnički Belgrade,Belgrade,SR Serbia,005 5th
Rudar Trbovlje,Trbovlje,SR Slovenia,014 14th
Sloga,Rankovićevo,SR Serbia,N/A
Spartak,Subotica,SAP Vojvodina,N/A
Velež,Mostar,SR Bosnia and Herzegovina,004 4th
