Commune,Department,Region,"Population , 2013",Rank
Paris,Paris,Île-de-France,"2,420,069",1
Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"855,393",2
Lyon,Rhône,Auvergne-Rhône-Alpes,"500,715",3
Toulouse,Haute-Garonne,Occitanie,"458,298",4
Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"342,295",5
Nantes,Loire-Atlantique,Pays de la Loire,"292,718",6
Strasbourg,Bas-Rhin,Grand Est,"275,718",7
Montpellier,Hérault,Occitanie,"272,084",8
Bordeaux,Gironde,Nouvelle-Aquitaine,"243,626",9
Lille,Nord,Hauts-de-France,"231,491",10
Rennes,Ille-et-Vilaine,Brittany,"211,373",11
Reims,Marne,Grand Est,"182,592",12
Le Havre,Seine-Maritime,Normandy,"172,074",13
Saint-Étienne,Loire,Auvergne-Rhône-Alpes,"172,023",14
Toulon,Var,Provence-Alpes-Côte d'Azur,"163,760",15
Grenoble,Isère,Auvergne-Rhône-Alpes,"160,215",16
Dijon,Côte-d'Or,Bourgogne-Franche-Comté,"153,003",17
Nîmes,Gard,Occitanie,"150,564",18
Angers,Maine-et-Loire,Pays de la Loire,"150,125",19
Villeurbanne,Rhône,Auvergne-Rhône-Alpes,"147,192",20
