Time,Athlete,Date,Place
3:55.8,Abel Kiviat ( USA ),1912-06-08,"Cambridge , Massachusetts , United States"
3:54.7,John Zander ( SWE ),1917-08-05,"Stockholm , Sweden"
3:52.6,Paavo Nurmi ( FIN ),1924-06-19,"Helsinki , Finland"
3:51.0,Otto Peltzer ( GER ),1926-09-11,"Berlin , Germany"
3:49.2,Jules Ladoumegue ( FRA ),1930-10-05,"Paris , France"
3:49.2,Luigi Beccali ( ITA ),1933-09-09,"Turin , Italy"
3:49.0,Luigi Beccali ( ITA ),1933-09-17,"Milan , Italy"
3:48.8,Bill Bonthron ( USA ),1934-06-30,"Milwaukee , United States"
3:47.8,Jack Lovelock ( NZL ),1936-08-06,"Berlin , Germany"
3:47.6,Gunder Hägg ( SWE ),1941-08-10,"Stockholm , Sweden"
3:45.8,Gunder Hägg ( SWE ),1942-07-17,"Stockholm , Sweden"
3:45.0,Arne Andersson ( SWE ),1943-08-17,"Gothenburg , Sweden"
3:43.0,Gunder Hägg ( SWE ),1944-07-07,"Gothenburg , Sweden"
3:43.0,Lennart Strand ( SWE ),1947-07-15,"Malmö , Sweden"
3:43.0,Werner Lueg ( FRG ),1952-06-29,"Berlin , Germany"
3:42.8+,Wes Santee ( USA ),1954-06-04,"Compton , United States"
3:41.8+,John Landy ( AUS ),1954-06-21,"Turku , Finland"
3:40.8,Sándor Iharos ( HUN ),1955-07-28,"Helsinki , Finland"
3:40.8,László Tábori ( HUN ),1955-09-06,"Oslo , Norway"
3:40.8,Gunnar Nielsen ( DEN ),1955-09-06,"Oslo , Norway"
