Year,Title,Role,Notes
1990-1991,Twin Peaks,Laura Palmer / Maddy Ferguson,18 episodes Nominated - Soap Opera Digest Awards for Best Prime Time Death Scene
1991,"Love , Lies and Murder",Patti Bailey,Television film
1992,Red Shoe Diaries,Kate Lyons,Episode : Jake 's Story
1994,Guinevere,Guinevere,Television film
1994,"Dr. Quinn , Medicine Woman",Catherine,Episode : Another Woman
1994,Aaahh ! ! ! Real Monsters,Actress ( voice ),Episode : Krumm Goes Hollywood
1995,Follow the River,Mary Draper Ingles,Television film
1997,David,Bathsheba,3 episodes
1998-1999,L.A. Doctors,Dr. Sarah Church,22 episodes
2001,Hitched,Eve Robbins,Television film
2003,Kingpin,Marlene McDillon Cadena,6 episodes Nominated - Prism Award for Performance in a TV Movie or Miniseries
2003,Without a Trace,Tina Hodges,Episode : Coming Home
2004,Desperate Housewives,Mary Alice Young,Unaired pilot
2005-2006,One Tree Hill,Elizabeth Ellie Harp,9 episodes
2006,The Secrets of Comfort House,Wendy,Television film
2006,CSI : NY,Ellen Garner,"Episode : And Here 's To You , Mrs Azrael"
2006,House M.D,Stephanie Green,Episode : Cane and Able
2007,Manchild,Mary,Pilot
2007,State of Mind,Leslie Petrovsky,Episode : Pilot
2007-2009,Dirty Sexy Money,Andrea Smithson,12 episodes
