Conf . Rank,University,Head Coach,Salary
1,University of Houston,Dana Holgorsen,"$ 3,700,000"
2,United States Naval Academy,Ken Niumatalolo,"$ 2,316,000"
3,University of Cincinnati,Luke Fickell,"$ 2,300,000"
4,University of Central Florida,Josh Heupel,"$ 2,300,000"
5,University of Tulsa,Philip Montgomery,"$ 1,689,395"
6,Tulane University,Willie Fritz,"$ 1,612,000"
7,East Carolina University,Mike Houston,"$ 1,425,000"
8,University of Memphis,Ryan Silverfield,TBA
9,Southern Methodist University,Sonny Dykes,TBA
10,University of South Florida,Jeff Scott,TBA
11,Temple University,Rod Carey,TBA
