Rank,Metropolitan statistical area,2018 estimate,2010 Census,% change,Encompassing combined statistical area
1,"New York-Newark-Jersey City , NY-NJ-PA MSA","19,979,477","19,567,410",+2.11%,"New York-Newark , NY-NJ-CT-PA CSA"
2,"Los Angeles-Long Beach-Anaheim , CA MSA","13,291,486","12,828,837",+3.61%,"Los Angeles-Long Beach , CA CSA"
3,"Chicago-Naperville-Elgin , IL-IN-WI MSA","9,498,716","9,461,105",+0.40%,"Chicago-Naperville , IL-IN-WI CSA"
4,"Dallas-Fort Worth-Arlington , TX MSA","7,539,711","6,426,214",+17.33%,"Dallas-Fort Worth , TX-OK CSA"
5,"Houston-The Woodlands-Sugar Land , TX MSA","6,997,384","5,920,416",+18.19%,"Houston-The Woodlands , TX CSA"
6,"Washington-Arlington-Alexandria , DC-VA-MD-WV MSA","6,249,950","5,636,232",+10.89%,"Washington-Baltimore-Arlington , DC-MD-VA-WV-PA CSA"
7,"Miami-Fort Lauderdale-West Palm Beach , FL MSA","6,198,782","5,564,635",+11.40%,"Miami-Port St. Lucie-Fort Lauderdale , FL CSA"
8,"Philadelphia-Camden-Wilmington , PA-NJ-DE-MD MSA","6,096,372","5,965,343",+2.20%,"Philadelphia-Reading-Camden , PA-NJ-DE-MD CSA"
9,"Atlanta-Sandy Springs-Roswell , GA MSA","5,949,951","5,286,728",+12.55%,"Atlanta-Athens-Clarke County-Sandy Springs , GA-AL CSA"
10,"Boston-Cambridge-Newton , MA-NH MSA","4,875,390","4,552,402",+7.09%,"Boston-Worcester-Providence , MA-RI-NH-CT CSA"
11,"Phoenix-Mesa-Chandler , AZ MSA","4,857,962","4,192,887",+15.86%,"Phoenix-Mesa , AZ CSA"
12,"San Francisco-Oakland-Berkeley , CA MSA","4,729,484","4,335,391",+9.09%,"San Jose-San Francisco-Oakland , CA CSA"
13,"Riverside-San Bernardino-Ontario , CA MSA","4,622,361","4,224,851",+9.41%,"Los Angeles-Long Beach , CA CSA"
14,"Detroit-Warren-Dearborn , MI MSA","4,326,442","4,296,250",+0.70%,"Detroit-Warren-Ann Arbor , MI CSA"
15,"Seattle-Tacoma-Bellevue , WA MSA","3,939,363","3,439,809",+14.52%,"Seattle-Tacoma , WA CSA"
16,"Minneapolis-St. Paul-Bloomington , MN-WI MSA","3,629,190","3,348,859",+8.37%,"Minneapolis-St. Paul , MN-WI CSA"
17,"San Diego-Chula Vista-Carlsbad , CA MSA","3,343,364","3,095,313",+8.01%,
18,"Tampa-St. Petersburg-Clearwater , FL MSA","3,142,663","2,783,243",+12.91%,
19,"Denver-Aurora-Lakewood , CO MSA","2,932,415","2,543,482",+15.29%,"Denver-Aurora , CO CSA"
20,"St. Louis , MO-IL MSA","2,805,465","2,787,701",+0.64%,"St. Louis-St. Charles-Farmington , MO-IL CSA"
