Year,Location,Winning team,Winning riders
2020,Ernée,,
2019,Assen,Netherlands,Jeffrey Herlings / Calvin Vlaanderen / Glenn Coldenhoff
2018,Red Bud,France,Gautier Paulin / Dylan Ferrandis / Jordi Tixier
2017,Matterley Basin,France,Gautier Paulin / Christophe Charlier / Romain Febvre
2016,Maggiora,France,Gautier Paulin / Benoît Paturel / Romain Febvre
2015,Ernée,France,Gautier Paulin / Marvin Musquin / Romain Febvre
2014,Ķegums,France,Gautier Paulin / Dylan Ferrandis / Steven Frossard
2013,Teutschenthal,Belgium,Ken De Dycker / Jeremy Van Horebeek / Clément Desalle
2012,Lommel,Germany,Maximilian Nagl / Ken Roczen / Marcus Schiffer
2011,Saint-Jean-d'Angély,USA,Ryan Dungey / Blake Baggett / Ryan Villopoto
2010,Lakewood,USA,Ryan Dungey / Trey Canard / Andrew Short
2009,Franciacorta,USA,Ryan Dungey / Jake Weimer / Ivan Tedesco
2008,Donington Park,USA,"James Stewart , Jr. / Ryan Villopoto / Tim Ferry"
2007,Budds Creek,USA,Ricky Carmichael / Ryan Villopoto / Tim Ferry
2006,Matterley Basin,USA,"James Stewart , Jr. / Ryan Villopoto / Ivan Tedesco"
2005,Ernée,USA,Ricky Carmichael / Kevin Windham / Ivan Tedesco
2004,Lierop,Belgium,Stefan Everts / Steve Ramon / Kevin Strijbos
2003,Zolder,Belgium,Stefan Everts / Steve Ramon / Joël Smets
2002,Bellpuig,Italy,Andrea Bartolini / Alessio Chiodi / Alessandro Puzar
2001,Namur,France,Yves Demaria / Luigi Seguy / David Vuillemin
