Dates,Tournament,Location,Winner
Mar 20-22,Florida 's Natural Growers Charity Classic,Florida,Jean Reynolds ( 1 )
Apr 3-5,iMPACT Invitational,Florida,Misun Cho ( 1 )
Apr 17-19,Louisiana Pelican Classic,Louisiana,Samantha Richdale ( 2 )
Apr 24-26,Historic Brownsville Open,Texas,Angela Buzminski ( 5 )
May 1-3,Texas Hill Country Classic,Texas,Allison Hanna-Williams ( 1 )
May 15-17,Mercedes-Benz of Kansas City Championship,Kansas,Elisa Serramia ( 1 )
Jun 5-7,Ladies Titan Tire Challenge,Iowa,Mina Harigae ( 1 )
Jun 11-14,Michelob ULTRA Duramed FUTURES Players Championship,Illinois,Mina Harigae ( 2 )
Jun 19-21,The Duramed Championship,Ohio,Whitney Wade ( 1 )
Jun 26-28,Horseshoe Casino Classic at Lost Marsh Golf Course,Indiana,Jean Reynolds ( 2 )
Jul 17-19,ING New England Golf Classic,Connecticut,Dewi Claire Schreefel ( 1 )
Jul 24-26,USI Championship,New Hampshire,Misun Cho ( 2 )
Jul 31-Aug 2,Alliance Bank Golf Classic,New York,Jenny Suh ( 1 )
Aug 7-9,Falls Auto Group Classic,Kentucky,Mina Harigae ( 3 )
Aug 14-16,iMPACT Classic,Virginia,Lisa Meldrum ( 1 )
Aug 21-23,Turkey Hill Classic,Pennsylvania,Samantha Richdale ( 3 )
Sep 4-6,ILOVENY Championship,New York,Song Yi Choi ( 1 )
