Name,Pos,Club
Jan-Willem Groenheyde,G,Zoetermeer Panthers
Daniel Oordt,G,Langley Rivermen
Boet van Gestel,D,Tilburg Trappers
Willem Gloudemans,D,Eindhoven High Techs
Rick van Haren,D,DEG Metro Stars
Mark Hoekstra,D,Friesland Flyers
Thijs Voorn,D,Eindhoven High Techs
Koen Bakker,D,Dells Ducks
Luke Zwartbol,D,Eindhoven High Techs
Rocco van Hoorn,D,Amsterdam Capitals
Thomas Borgman,F,Zoetermeer Panthers
Danny Donders,F,Eindhoven High Techs
Jesse Hendriks,F,Krefeld Pinguine
Reno de Hondt,F,Malmö J18
Jordy Knoren,F,Eindhoven High Techs
Tom Marx,F,Eindhoven High Techs
Davey Menting,F,Eindhoven High Techs
Tony Ras,F,Friesland Flyers
Raymond van der Schuit,F,Eindhoven High Techs
Sebastiaan Sneijder,F,Eindhoven High Techs
