State,Contestant,Age,Height,Hometown
Amazonas,Hylenne Lyanne Báez Flores,20,175 cm ( 5 ft 9 in ),Tumeremo
Anzoátegui,Yoelys Adriana Escalante Salas,19,178 cm ( 5 ft 10 in ),San Cristóbal
Apure,Mariana Carolina Romero Pérez,21,176 cm ( 5 ft 9 ⁄ 2 in ),Caracas
Aragua,Nicelín Elián Herrera Vásquez,21,184 cm ( 6 ft ⁄ 2 in ),Maracay
Barinas,María Teresa Solano Lobo,21,173 cm ( 5 ft 8 in ),Caracas
Bolivar,Keilys del Carmen Rivero Rosillo,22,180 cm ( 5 ft 11 in ),Puerto Ordaz
Carabobo,María Luisa Zerpa Lera,22,182 cm ( 5 ft 11 ⁄ 2 in ),Valencia
Cojedes,Milunay Freites Hull,20,182 cm ( 5 ft 11 ⁄ 2 in ),Ciudad Ojeda
Distrito Capital,Daniela Xanadú Chalbaud Maldonado,21,176 cm ( 5 ft 9 ⁄ 2 in ),Caracas
Falcon,Alyz Sabimar Henrich Ocando,21,176 cm ( 5 ft 9 ⁄ 2 in ),Punto Fijo
Guárico,María Gabriela de Jesús Isler Morales,24,182 cm ( 5 ft 11 ⁄ 2 in ),Maracay
Lara,Vicmary Alejandra Rivero Rodríguez,19,176 cm ( 5 ft 9 ⁄ 2 in ),Barquisimeto
Mérida,Claudia Baratta Sarcinelli,24,173 cm ( 5 ft 8 in ),San Cristóbal
Miranda,Oriana Lucchese Baez,19,183 cm ( 6 ft 0 in ),Valencia
Monagas,Angela Karli Osmaira Ducallín Spadavecchia,23,175 cm ( 5 ft 9 in ),Maracay
Nueva Esparta,Fabiola del Valle Castillo Marcano,23,175 cm ( 5 ft 9 in ),Puerto Ordaz
Península Goajira,Rocireé del Carmen Silva Fernandez,24,179 cm ( 5 ft 10 ⁄ 2 in ),Sinamaica
Portuguesa,Nerys Margarita Díaz Ramirez,23,176 cm ( 5 ft 9 ⁄ 2 in ),Maracaibo
Sucre,Ingrid Karina Smith Quijada,25,180 cm ( 5 ft 11 in ),Puerto Ordaz
Táchira,Ivanna Mariam Vale Colman,20,175 cm ( 5 ft 9 in ),San Cristóbal
