Year,Films and television series,Language
2016,Ventilator,Marathi
1998-1999,C.I.D,Hindi
1998,Woh,Hindi
1998,Sarkarnama,Marathi
1994,Kabhi Haan Kabhi Naa,Hindi
1994,Vazir,Marathi
1992,Chamatkar,Hindi
1991,Indrajeet,Hindi
1989,Circus,Hindi
1989,Gawaahi,Hindi
1989,Salim Langde Pe Mat Ro,Hindi
1989,Kamla Ki Maut,Hindi
1989,Indradhanush,Hindi
1989,Ek Ratra Mantarleli,Marathi
1989,Goonj,Hindi
1988,Jaat,Haryanvi
1988,Bharat Ek Khoj,Hindi
1987,Kachchi Dhoop,Hindi
1987,West Is West,English
1986,Naam,Hindi
