Territory,Claimants,Notes
Ashmore and Cartier Islands,Australia Indonesia,"Indonesia argues that the islands , known in Indonesian as Kepulauan Pasir , were first discovered and inhabited by local fishermen from Lesser Sunda Islands , which were then part of Dutch East Indies"
"Aarsal , Deir El Aachayer , Kfar Qouq , Mazraat Deir al-Ashayer , Qaa , Qasr and Tuffah",Lebanon Syria,
Abu Musa,Iran United Arab Emirates,
Nagorno-Karabakh region and seven adjacent districts,Artsakh Armenia Azerbaijan,"Internationally recognized as part of Azerbaijan , de facto controlled by the Nagorno-Karabakh supported by Armenia"
"Bhutanese enclaves in Tibet , namely Cherkip Gompa , Dho , Dungmar , Gesur , Gezon , Itse Gompa , Khochar , Nyanri , Ringung , Sanmar , Tarchen , Doklam and Zuthulphuk",China Bhutan,
Gilgit Baltistan & Azad Kashmir,Pakistan India,Administered by Pakistan and claimed by India . Part of the Kashmir conflict
Hatay Province,Turkey Syria,"Territory annexed by Turkey in 1939 , ceded from Syria under the French Mandate of Syria ; the annexation was never formally recognized by Syria after its independence"
Jammu and Kashmir,India Pakistan,"Part of the Kashmir conflict . Both India and Pakistan claim the former independent princely state of Jammu and Kashmir , leading to the Indo-Pakistani war of 1947 . A UN-mediated ceasefire put a halt to the conflict in January 1949 . The UN resolution called for both the countries to demilitarise the region , following which a plebiscite would be held . However , no demilitarisation plan acceptable to both the countries could be agreed . The countries fought two further wars in 1965 and 1971 . Following the latter war , the countries reached the Simla Agreement , agreeing on a Line of Control between their respective regions and committing to a peaceful resolution of the dispute through bilateral negotiations . An armed insurgency broke out in 1989 in the Indian administered part of Kashmir , demanding independence . Pakistan is believed to provide arms and training to the militants"
David Gareja monastery complex boundary dispute,Georgia Azerbaijan,
"Depsang Plains , Demchok , Chumar , Kaurik , Shipki La , Barahoti , Jadhang , Lapthal , Nelang , Pulam Sumda and Sang",China India,Disputed areas located between Aksai Chin and Nepal
Doi Lang,Myanmar Thailand,
Fasht Ad Dibal and Qit'at Jaradah,Bahrain Qatar,"These were not included in the 2001 International Court of Justice judgement , as low-tide elevations"
Several areas in the Fergana Valley,Kyrgyzstan Tajikistan Uzbekistan,"Kyrgyzstan : A tiny Kyrgyz village , Barak , in the Fergana Valley region ( where Kyrgyzstan , Tajikistan and Uzbekistan meet ) is bordered on the north , west and south by Uzbekistan . Tajikistan : There are three Tajik exclaves , all of them in the Fergana Valley . One of them , the village of Sarvan , is surrounded by Uzbek territory , whereas the remaining two , the village of Vorukh and a small settlement near the Kyrgyz railway station of Kairagach , are each surrounded by Kyrgyz territory . Uzbekistan : There are four Uzbek exclaves , all inside Kyrgyz territory in the Fergana Valley . Two of them are the towns of Sokh and Shakhimardan and the other two the tiny territories of Chong-Kara and Dzhangail . There may be a fifth Uzbek exclave inside of Kyrgyzstan . Most of the border in the area is still not demarcated"
Western Golan Heights,Israel Syria,"Syrian territory captured by Israel in 1967 ( the Six-Day War ) , and unilaterally annexed by Israel in 1981 . In 2008 , a plenary session of the United Nations General Assembly voted by 161-1 in favor of a motion on the occupied Syrian Golan that reaffirmed support for UN Resolution 497 ; United Nations , December 5 , 2008 ) . During the Syrian civil war period , Syrian Arab Republic had lost direct control of the Eastern Golan areas and retreated from cease-fire line with Israel ( in favor of various rebel and Jihadist groups ) , though did regain the area in 2018"
Greater and Lesser Tunbs,Iran United Arab Emirates,
Isfara Valley,Kyrgyzstan Tajikistan,
Ambalat,Indonesia Malaysia,
24-mile stretch of border at pass of the Kabaw,India Myanmar,"India 's government acknowledges that its border with Myanmar is not yet demarcated , but does not consider there to be a dispute"
Israel within the Green Line,Israel Palestine,See Israeli-Palestinian conflict
The West Bank and eastern Jerusalem,Israel Civilian rule by Israel Proper applied over East Jeruslaem Military Occupation has jurisdiction over all matters in Area C and security-related matters in Area B Palestine has jurisdiction over all matters in Area A and civil matters in Area B,See Israeli-Palestinian conflict
