Name,Space Agency,Launch Date,Terminated,Location
IRAS,NASA,25 Jan 1983,21 Nov 1983,Earth orbit ( 889-903 km )
Infrared Telescope in Space,ISAS & NASDA,18 Mar 1995,25 Apr 1995,Earth orbit ( 486 km )
Infrared Space Observatory ( ISO ),ESA,17 Nov 1995,16 May 1998,Earth orbit ( 1000-70500 km )
Midcourse Space Experiment ( MSX ),USN,24 Apr 1996,26 Feb 1997,Earth orbit ( 900 km )
Submillimeter Wave Astronomy Satellite ( SWAS ),NASA,6 Dec 1998,Last used in 2005,Earth orbit ( 638-651 km )
Wide Field Infrared Explorer ( WIRE ),NASA,5 Mar 1999,no observations,"Re-entered May 10 , 2011"
Spitzer Space Telescope,NASA,25 Aug 2003,30 Jan 2020,Solar orbit ( 0.98-1.02 AU )
Akari ( Astro-F ),JAXA,21 Feb 2006,24 Nov 2011,Earth orbit ( 586.47-610.44 km )
Herschel Space Observatory,ESA & NASA,14 May 2009,29 Apr 2013,Sun - Earth L 2 Lagrange point
Wide-field Infrared Survey Explorer ( WISE ),NASA,14 Dec 2009,( hibernation Feb 2011 - Aug 2013 ),Earth orbit ( 500 km )
