Year,Name,Organization,Action
1990,Arnold Gundersen,Nuclear Energy Services,"Nuclear power whistleblower Arnold Gundersen discovered radioactive material in an accounting safe at Nuclear Energy Services ( NES ) in Danbury , Connecticut , the consulting firm where he held a $ 120,000-a-year job as senior vice president . Three weeks after he notified the company president of what he believed to be radiation safety violations , Gundersen was fired . According to The New York Times , for three years , Gundersen was awakened by harassing phone calls in the middle of the night and he became concerned about his family 's safety . Gundersen believes he was blacklisted , harassed and fired for doing what he thought was right . NES filed a $ 1.5 million defamation lawsuit against him that was settled out-of-court . A U.S. Nuclear Regulatory Commission report concluded that there had been irregularities at NES , and the Office of the Inspector General reported that the NRC had violated its own regulations by sending business to NES"
1992,Mark Whitacre,Archer Daniels Midland,"PhD scientist and former Divisional President with Archer Daniels Midland , who worked with the FBI as a secret informant , to blow the whistle on price-fixing cartel in his company . This story is featured in the film The Informant ! where Whitacre is portrayed by Matt Damon"
1992,Keith A. Schooley,,"Keith A. Schooley ( born 1952 ) is an American author and former stockbroker at Merrill Lynch , who brought attention to fraud and corruption within the firm at the Oklahoma and Texas offices in 1992 as a whistleblower . As a result , he was terminated from the firm , and sued the corporation in a case that went to the Oklahoma Supreme Court , and Tenth Circuit Court of Appeals"
1994,André Cicolella,French Institute for Research and Security,"André Cicolella showed that fetal malformations are associated with being exposed in utero to glycol ethers . The French Institute for Research and Security decided not to allow him to participate in a symposium that he was organizing on health risks linked with ether glycols , and fired him . In 1998 it was confirmed that he was right"
1994-95,William Sanjour,United States Environmental Protection Agency,"Whistleblower at the U.S. Environmental Protection Agency for over 20 years who also wrote on whistleblower protection issues . He won a landmark lawsuit against the federal government which established the First Amendment rights of federal employees to blow the whistle on their employer . [ Sanjour v. EPA,56 F.3d 85 ( D.C. Cir . 1995 ) ( en banc ) ]"
1996,George Galatis,Nuclear power industry,"Nuclear power whistleblower George Galatis was a senior nuclear engineer who reported safety problems at the Millstone 1 Nuclear Power Plant , relating to reactor refueling procedures , in 1996 . The unsafe procedures meant that spent fuel rod pools at Unit 1 had the potential to boil , possibly releasing radioactive steam . Galatis eventually took his concerns to the Nuclear Regulatory Commission , to find that they had known about the unsafe procedures for years . As a result of going to the NRC , Galatis experienced subtle forms of harassment , retaliation , and intimidation . The NRC Office of Inspector General investigated this episode and essentially agreed with Galatis in Case Number 95-771 , the report of which tells the whole story . George Galatis was the subject of a Time magazine cover story on March 4 , 1996 . Millstone 1 was permanently closed in July 1998"
1996,Jeffrey Wigand,Brown & Williamson,"Jeffrey Wigand had been recently fired from his position as vice president of research and development at tobacco company Brown & Williamson when , on February 4 , 1996 , he stated on the CBS news program 60 Minutes that the company intentionally manipulated the level of nicotine in cigarette smoke to addict smokers . Wigand claims that he was subsequently harassed and received anonymous death threats . He was portrayed by Russell Crowe in the 1999 film The Insider"
1996,Allan Cutler,Canadian government,"The first whistleblower on the Canadian AdScam or sponsorship scandal . Without legal protection , he was fired by the Canadian government . As the case developed , federal legislation was passed to protect future whistleblowers in the Canadian civil service . Several convictions have been recorded to date with the case , with proceedings still in progress"
1996,David Franklin,Parke-Davis,Exposed illegal promotion of the epilepsy drug Neurontin for un-approved uses while withholding evidence that the drug was not effective for these conditions . Parke-Davis 's new owners Pfizer eventually pleaded guilty and paid criminal and civil fines of $ 430 million . The case had widespread effects including : establishing a new standards for pharmaceutical marketing practices ; broadening the use of the False Claims Act to make fraudulent marketing claims criminal violations ; exposing complicity and active participation in fraud by renowned physicians ; and demonstrating how medical literature had been systematically adulterated by the pharmaceutical industry and its paid clinical consultants . Under the False Claims Act Dr Franklin receives $ 24.6m as part of the settlement agreement
1996,Michael Ruppert,Los Angeles Police Department,"Former LAPD narcotics officer who contested the CIA director John Deutch 's assertions that the CIA was not complicit in drug trafficking during a town hall meeting at Los Angeles ' Locke High School on November 5 , 1995 . At the meeting , Ruppert publicly alleged the existence of classified CIA programs named Amadeus , Pegasus , and Watchtower , claiming to possess evidence for the programs including redacted documents from Watchtower , and stated that CIA officers had attempted to involve him in protecting these CIA operations during the late 1970s . His account corresponds to similar allegations regarding Operation Watchtower"
