Name,Country,8 March 2013
First Solar,United States,15.72%
MEMC,United States,12.09%
SunPower,United States,10.76%
SMA Solar Technology,Germany,8.55%
Renewable Energy Corporation,Norway,6.50%
Motech Industries,Taiwan,6.43%
Trina Solar,China,5.89%
Meyer Burger,Switzerland,5.83%
GT Solar International,United States,5.45%
Gintech Energy,Taiwan,4.89%
Green Energy Technology,Taiwan,4.38%
Neo Solar Power,Taiwan,4.28%
E-Ton Solar Tech,Taiwan,3.25%
Solartech Energy,Taiwan,3.34%
SolarWorld,Germany,2.62%
