League,Metro area,Country,Admitted
Arch Rival Rollergirls,"St Louis , MO",United States,1 January 2009
Babe City Rollers,"Bemidji , MN",United States,1 June 2011
Black-n-Bluegrass Rollergirls,"Latonia , KY",United States,1 March 2012
Bleeding Heartland Rollergirls,"Bloomington , IN",United States,23 December 2008
Brewcity Bruisers,"Milwaukee , WI",United States,1 January 2009
Burning River Roller Girls,"Cleveland , OH",United States,1 January 2009
Chicago Outfit Roller Derby,"Chicago , IL",United States,17 June 2010
Cincinnati Rollergirls,"Cincinnati , OH",United States,1 January 2009
Circle City Derby Girls,"Indianapolis , IN",United States,1 June 2012
CoMo Derby Dames,"Columbia , MO",United States,1 March 2012
Demolition City Roller Derby,"Evansville , IN",United States,17 June 2010
Derby City Rollergirls,"Louisville , KY",United States,2009
Detroit Derby Girls,"Detroit , MI",United States,1 January 2009
Fargo Moorehead Derby Girls,"Fargo , ND",United States,1 March 2012
Fort Wayne Derby Girls,"Fort Wayne , IN",United States,1 January 2009
Fox Cityz Foxz,"Oshkosh , WI",United States,1 September 2010
Glass City Rollers,"Toledo , OH",United States,1 March 2012
Grand Raggidy Roller Girls,"Grand Rapids , MI",United States,1 January 2009
Hammer City Roller Girls,"Hamilton , ON",Canada,2009
Killamazoo Derby Darlins,"Kalamazoo , MI",United States,1 September 2010
