2018 Rank,Club,Revenue ( € million ),Country,2017 Rank,Change
1,Manchester United,676.3,England,1,-
2,Real Madrid,674.6,Spain,3,+1
3,Barcelona,648.3,Spain,2,−1
4,Bayern Munich,587.8,Germany,4,-
5,Manchester City,527.7,England,5,-
6,Arsenal,487.6,England,7,+1
7,Paris Saint - Germain,486.2,France,6,−1
8,Chelsea,428.0,England,8,-
9,Liverpool,424.2,England,9,-
10,Juventus,405.7,Italy,10,-
11,Tottenham Hotspur,355.6,England,12,+1
12,Borussia Dortmund,332.6,Germany,11,−1
13,Atlético Madrid,272.5,Spain,13,-
14,Leicester City,271.1,England,20,+6
15,Internazionale,262.1,Italy,19,+4
16,Schalke 04,230.2,Germany,13,−2
17,West Ham United,213.3,England,18,+1
18,Southampton,212.1,England,22,+4
19,Napoli,200.7,Italy,30,+11
20,Everton,199.2,England,23,+3
