Year,Film,Director,Notes
2019,Richard Jewell,Clint Eastwood,
2018,The Mule,Clint Eastwood,
2018,Den of Thieves,Christian Gudegast,"with David S. Cox , Nathan Godley"
2017,All Eyez on Me,Benny Boom,
2014,American Sniper,Clint Eastwood,with Gary D. Roach
2014,Jersey Boys,Clint Eastwood,with Gary D. Roach
2013,Prisoners,Denis Villeneuve,with Gary D. Roach
2012,Trouble with the Curve,Robert Lorenz,
2011,J. Edgar,Clint Eastwood,with Gary D. Roach
2010,Hereafter,Clint Eastwood,with Gary D. Roach
2009,Invictus,Clint Eastwood,with Gary D. Roach
2008,Gran Torino,Clint Eastwood,with Gary D. Roach
2008,Changeling,Clint Eastwood,with Gary D. Roach
2007,American Masters Tony Bennett : The Music Never Ends,Bruce Ricker,( TV ) Clint Eastwood Producer
2006,Letters from Iwo Jima,Clint Eastwood,with Gary D. Roach
2006,Flags of Our Fathers,Clint Eastwood,with Gary D. Roach
2005,Budd Boetticher : A Man Can Do That,Bruce Ricker,( TV )
2004,Million Dollar Baby,Clint Eastwood,Clint Eastwood as Frankie Dunn
2003,The Blues : Piano Blues,Clint Eastwood,
2003,Mystic River,Clint Eastwood,Original Music by Clint Eastwood
