Date,Co-Hosts,Guests/Segments
September 5,Regis Philbin & Kelly Ripa,"Hank Azaria , Kevin Connolly and Real Housewives of Beverly Hills"
September 6,Regis Philbin & Kelly Ripa,Stephen Moyer and Rachel Zoe
September 7,Regis Philbin & Kelly Ripa,Matt Damon and La La and Carmello Anthony
September 8,Regis Philbin & Kelly Ripa,Salma Hayek and Joe Jonas
September 9,Kelly Ripa & Seth Meyers,"Lauren Graham , Kara DioGuardi and Swamp Brothers Stephen and Robbie Keszey"
September 12,Regis Philbin & Kelly Ripa,"Greg Kinnear , Paul Wesley , Guinness World Record Breaker Week"
September 13,Regis Philbin & Kelly Ripa,"Sarah Michelle Gellar , Diane Sawyer , Guinness World Record Breaker Week"
September 14,Regis Philbin & Kelly Ripa,"Pierce Brosnan , Meredith Vieira , Guinness World Record Breaker Week"
September 15,Regis Philbin & Kelly Ripa,"Zooey Deschanel , Tim Gunn , Guinness World Record Breaker Week"
September 16,Kelly Ripa & Andy Cohen,"James Marsden , Gavin Degraw , Guinness World Record Breaker Week"
September 19,Regis Philbin & Kelly Ripa,"Tom Selleck , Eddie Cibrian and Lawrence Zarian"
September 20,Regis Philbin & Kelly Ripa,"Julianna Margulies , Paula Abdul and Anna Kournikova"
September 21,Regis Philbin & Kelly Ripa,"Jonah Hill , Jane Lynch and Kelly Monaco"
September 22,Regis Philbin & Kelly Ripa,"Taylor Lautner , Celine Dion and Minka Kelly"
September 23,Kelly Ripa & Dana Carvey,"Elizabeth Hurley , Christina Ricci and Marc Santa Maria"
September 26,Regis Philbin & Kelly Ripa,"Melissa McCarthy , Cloris Leachman and Blake Shelton"
September 27,Regis Philbin & Kelly Ripa,"Taye Diggs , Morgan Freeman and Colbie Caillat"
September 28,Regis Philbin & Kelly Ripa,"Ted Danson , Anna Faris and Allstar Weekend"
September 29,Regis Philbin & Kelly Ripa,"Claire Danes , Alton Brown and Jason Derulo"
September 30,Kelly Ripa & Mark Consuelos,Brooke Shields and Rob Mariano
