Rank,Name,Nationality,Time,Points
1,Dolores Checa,Spain,15:16.89,12
2,Yelena Zadorozhnaya,Russia,15:28.65,11
3,Helen Clitheroe,Great Britain,15:33.03,10
4,Sabrina Mockenhaupt,Germany,15:35.02,9
5,Dulce Félix,Portugal,15:36.99,8
6,Tetyana Holovchenko,Ukraine,15:46.02,7
7,Anna Incerti,Italy,15:49.54,6
8,Christine Bardelle,France,15:57.56,5
9,Wioletta Frankiewicz,Poland,16:22.81,4
10,Malin Liljestedt,Sweden,16:28.40,3
11,Kvetoslava Pecková,Czech Republic,16:31.74,2
12,Volha Dubouskaya,Belarus,16:40.44,1
