Team,Location,Stadium,Stadium capacity
BÍ/Bolungarvík,Ísafjörður / Bolungarvík,Torfnesvöllur,800
Grótta,Seltjarnarnes,Gróttuvöllur,"1,500"
Hamar,Hveragerði,Grýluvöllur,"2,000"
Hvöt,Blönduós,Blönduósvöllur,"1,000"
Höttur,Egilsstaðir,Vilhjálmsvöllur,500
ÍH/HV,Hafnarfjörður,Ásvellir,"1,400"
KS/Leiftur,Fjallabyggð,Siglufjarðarvöllur,"1,000"
Magni,Grenivík,Grenivíkurvöllur,"1,000"
Njarðvík,Reykjanesbær,Njarðtaksvöllurinn,"2,880"
Reynir S,Sandgerði,Sparisjóðsvöllur,"1,500"
Tindastóll,Sauðárkrókur,Sauðárkróksvöllur,300
Víðir,Garður,Garðsvöllur,"2,000"
