Name,Oblast,Area ( km² )
Bakota Bay,Khmelnytsky 48°35′N 26°56′E / 48.583°N 26.933°E / 48.583 ; 26.933 ( Bakota Bay ),15.9
"Berda River mouth , Berdiansk Spit and Berdiansk Bay",Zaporizhia 46°44′N 36°48′E / 46.733°N 36.800°E / 46.733 ; 36.800 ( Berda River mouth ),18
"Bilosaraisk Bay , Bilosaraisk Spit",Donetsk 46°54′N 37°20′E / 46.900°N 37.333°E / 46.900 ; 37.333 ( Bilosaraisk Bay ),20
Great Chapli Depression,Kherson 46°29′N 33°51′E / 46.483°N 33.850°E / 46.483 ; 33.850 ( Great Chapli Depression ),23.59
Cheremske Mire,Volyn Oblast,328
Chilia branch ( Kilia ),Odessa,328
Desna River floodplains,Sumy 52°19′N 33°23′E / 52.317°N 33.383°E / 52.317 ; 33.383 ( Desna River floodplains ),42.7
Dnieper River Delta,Kherson,260
Dnieper - Orli floodplains,Dnipropetrovsk,25.6
Northern area of the Dniester Liman,Odessa,200
Land of Dniester - Turunchuk,Odessa,760
Karadag rocky shore habitat,Crimea,2.24
Karkanit and Dzharylhach bays,"Kherson , Crimea 46°00′N 33°5′E / 46.000°N 33.083°E / 46.000 ; 33.083 ( Karkinit and Dzharylgat Bays )",870
Lake Kartal,Odessa,5
Cape Kazantyp rocky shore habitat,Crimea 45°28′N 35°51′E / 45.467°N 35.850°E / 45.467 ; 35.850 ( Cape Kazantyp ),2.51
Kremenchuk Floodplains,Poltava Oblast,
Kryva Bay and Kryva Spit,Donetsk,14
Kuhurluy,Odessa,65
Molochnyi Estuary,Zaporizhia,224
Obitochna Spit,Zaporizhia,20
