Team,Previous Stanley Cup Finals,Intervening Conference Finals losses,Next Stanley Cup Finals,Stanley Cup Finals drought
Toronto Maple Leafs,1966-67,"5 : 1977-78 , 1992-93 , 1993-94 , 1998-99 , 2001-02",,51 seasons
St. Louis Blues,1969-70,"4 : 1971-72 , 1985-86 , 2000-01 , 2015-16",2018-19,47 seasons
Winnipeg Jets / Phoenix/Arizona Coyotes,never ( franchise entered the NHL in 1979-80 ),1 : 2011-12,,39 seasons
New York Islanders,1983-84,1 : 1992-93,,34 seasons
Detroit Red Wings,1965-66,"2 : 1986-87 , 1987-88",1994-95,28 seasons
Los Angeles Kings,never ( inception of franchise in 1967-68 ),1 : 1968-69,1992-93,25 seasons
Montreal Canadiens,1992-93,"2 : 2009-10 , 2013-14",,25 seasons
Buffalo Sabres,1974-75,"2 : 1979-80 , 1997-98",1998-99,23 seasons
Pittsburgh Penguins,never ( inception of franchise in 1967-68 ),1 : 1969-70,1990-91,23 seasons
Washington Capitals,never ( inception of franchise in 1974-75 ),1 : 1989-90,1997-98,23 seasons
San Jose Sharks,never ( inception of franchise in 1991-92 ),"3 : 2003-04 , 2009-10 , 2010-11",2015-16,23 seasons
