Title,Artist,Year,Material,Owner
Black Titan,John Spaulding,1985,Bronze,Indianapolis Art Center
Monumentalment IV,Gary Freeman,1981,Painted steel,Indianapolis Art Center
Restful Place,Truman Lowe,2005,"Bronze , glass , limestone",Indianapolis Art Center
Twisted House,John McNaughton,2005,Wood,Indianapolis Art Center
Ascent the Wind,Michael Helbing,2004,Steel,Indianapolis Art Center
Dawnsong,Brose Partington,2008,"Steel , aluminum , siding & shingles",Indianapolis Art Center
Empire Towers,R.M . Fischer,1985,"Stainless steel , aluminum , electric lights",Indianapolis Art Center
Imploding Cube,John Simms,2002,Aircraft aluminum,Indianapolis Art Center
Slightly Romanesque/Newhall 43,Robert Curtis,1981,"Concrete , metal",Indianapolis Art Center
Sometimes I Sits,Michael Helbing,2005,,Indianapolis Art Center
Spanish Gate,Lucio Ruiz Rojas,1955,,Indianapolis Art Center
Confluence,Robert Stackhouse & Carol Mickett,2004,Limestone,Indianapolis Art Center
Totem,Robert Zeidman,,Painted steel,Indianapolis Art Center 39°52′40.75″N 86°8′38.53″W / 39.8779861°N 86.1440361°W / 39.8779861 ; -86.1440361
