Team,City,Founded,Arena,Capacity,Opened
Aalborg Pirates,Aalborg,1967,Gigantium,5000,2007
Esbjerg Energy,Esbjerg,1964,Granly Hockey Arena,4200,1976
Frederikshavn White Hawks,Frederikshavn,1964,Nordjyske Bank Arena,4000,2015
Herning Blue Fox,Herning,1947,KVIK Hockey Arena,4100,1988
Herlev Eagles,Herlev,1968,DFDS Seaways Arena,1740,1977
Odense Bulldogs,Odense,1978,Odense Isstadion,3280,1999
Rungsted Seier Capital,Rungsted,1941,Bitcoin Arena,2460,1971
Rødovre Mighty Bulls,Rødovre,1964,Rødovre Skøjte Arena,3600,1995
SønderjyskE Ishockey,Vojens,1963,SE Arena,5000,2011
Hvidovre Fighters,Hvidovre,1966,Allan Villadsen Ishockey Arena,2000,1979
