Rank,Employer,Number of Ohio employees ( as of December 2018 report ),Headquarters location
1,Wal-Mart,"50,200","Bentonville , Arkansas"
2,Cleveland Clinic Health System,"49,800",Cleveland
3,Kroger,"45,150",Cincinnati
4,The Ohio State University,"33,300",Columbus
5,Mercy Health,"32,200",Cincinnati
6,Wright Patterson Air Force Base,"27,600",Dayton
7,University Hospitals Health System,"26,000",Cleveland
8,OhioHealth,"21,100",Columbus
9,JP Morgan Chase,"21,000","New York , New York"
10,Giant Eagle,"19,000","Pittsburgh , Pennsylvania"
