Date,Co-Hosts,Guests/Segments
February 1,Regis Philbin & Kelly Ripa,"Jeffrey Tambor , Jeff Probst , Healthy Hearty Football Party Week"
February 4,Regis Philbin & Kelly Ripa,"Martin Lawrence , Wedding Week"
February 5,Regis Philbin & Kelly Ripa,"Matthew McConaughey , Bow Wow & Omarion , Wedding Week"
February 6,Regis Philbin & Kelly Ripa,"Kate Hudson , k.d . lang , Michael Strahan , Wedding Week"
February 7,Regis Philbin & Kelly Ripa,"Vince Vaughn , Brooke Shields , Lenny Kravitz , Wedding Week"
February 8,Regis Philbin & Kelly Ripa,LIVE 's Wedding 2008
February 11,Regis Philbin & Kelly Ripa,"Rachel Bilson , Enrique Iglesias , Beautiful Baby Week"
February 12,Regis Philbin & Kelly Ripa,"Samuel L. Jackson , Maroon 5 , Beautiful Baby Week"
February 13,Regis Philbin & Kelly Ripa,"Colin Farrell , Evangeline Lilly , Beautiful Baby Week"
February 14,Regis Philbin & Kelly Ripa,"Hayden Christensen , Isla Fisher , Beautiful Baby Week"
February 15,Regis Philbin & Kelly Ripa,"Ryan Reynolds , Ingrid Michaelson , Neil Patrick Harris , Beautiful Baby Week"
February 18,Regis Philbin & Kelly Ripa,"Lauren Conrad , John Larroquette , Salt-n-Pepa"
February 19,Regis Philbin & Kelly Ripa,"Matthew Fox , Larry the Cable Guy , Daytona 500 winner"
February 20,Regis Philbin & Kelly Ripa,"Dennis Quaid , four finalists of Project Runway"
February 21,Regis Philbin & Kelly Ripa,"Forest Whitaker , Ian Ziering"
February 22,Regis Philbin & Kelly Ripa,"Scarlett Johansson , Richard Roeper , Chris Byrne the Toy Guy"
February 25,Regis Philbin & Kelly Ripa,"LIVE ! in Los Angeles , Sean Combs , Scott Baio , Regis at the Academy Awards"
February 26,Regis Philbin & Kelly Ripa,"LIVE ! in Los Angeles , Patricia Heaton , Scott Baio , Kelly visits the set of American Idol"
February 27,Regis Philbin & Kelly Ripa,"LIVE ! in Los Angeles , Reese Witherspoon , Simon Cowell , Anastasia the balloon-popping dog"
February 28,Regis Philbin & Kelly Ripa,"LIVE ! in Los Angeles , Drew Carey , Raven-Symoné , Regis tours exclusive L.A. neighborhoods"
