Company,Year established in Israel,No of employees in Israel,Major acquisitions in Israel
IBM,1949,"2,000","Ubique , I-Logix , XIV , Guardium , Diligent Technologies , Storwize , Worklight , Trusteer , EZSource Cloudigo"
Motorola,1964,"1,500","Terayon , Bitband"
Intel,1974,"9,200","DSPC Envara , Comsys , InVision Biometrics , Telmap Mobileye"
Microsoft,1989,750,"Maximal , Peach Networks , Whale Communications , Gteko , YaData , 3DV Systems Secure Islands"
Applied Materials,1991,"1,200","Orbot Instruments , Opal Technologies , Oramir Semiconductor"
Qualcomm,1993,450,"EPOS ( ultrasound positioning ) , DesignArt Networks ( femtocell ) , iSkoot , Wilocity ( WiGig ) , CSR / Zoran Israel imaging unit ; also invested in multiple Israeli startups via Qualcomm Ventures"
Cisco Systems,1997,"1,500","CLASS Data Systems , HyNEX , Seagull Semiconductor , PentaCom , P-Cube , Riverhead Networks , Intucell , Sheer Networks , NDS Group"
Hewlett-Packard,1998,"6,000","Indigo Digital Press , Scitex Vision , Nur Macroprints , Mercury Interactive , Shunra"
SAP AG,1998,800,"OFEK-Tech , TopTier Software , TopManage , A2i , Gigya"
Alcatel Lucent,1998,250,"LANNET , Chromatis Networks , Mobilitec"
GE Healthcare,1998,400,"Nuclear and MR businesses of Elscint , Diasonics Vingmed"
BMC Software,1999,450,"New Dimension Software , Identify Software"
CA Technologies,1999,300,"Security-7 , Abirnet , XOSoft , Oblicore , Nolio"
Philips Electronics,1999,700,"Elscint , Veon , CDP Medical"
Broadcom,2000,500,"VisionTech , M-Stream , Siliquent Technologies , Dune Networks , Percello , Provigent , SC Square"
Marvell Technology Group,2000,"1,600",Galileo Technology
Siemens,2000,900,"eship-4u , Tecnomatix Technologies , Solel Solar Systems"
EMC Corporation,2004,"1,000","Kashya , nLayers , proActivity , Illuminator , ZettaPoint , Cyota , XtremIO"
eBay,2005,400,"Shopping.com , Fraud Sciences , The Gift Project , SalesPredict , Corrigon Ltd"
SanDisk,2006,650,M-Systems
