Team,City,Arena,Capacity
AS Monaco Basket,"Fontvieille , Monaco",Salle Gaston Médecin,"3,700"
ASVEL,Villeurbanne,Astroballe,"5,556"
BCM Gravelines-Dunkerque,Gravelines,Sportica,"3,043"
Boulazac Basket Dordogne,Boulazac,Le Palio,"5,200"
Champagne Châlons-Reims Basket,Châlons / Reims,Complexe René-Tys / Pierre de Coubertin,"3,000 / 2,791"
Cholet Basket,Cholet,La Meilleraie,"5,191"
Élan Béarnais Pau-Lacq-Orthez,Pau,Palais des Sports de Pau,"7,707"
Élan Chalon,Chalon-sur-Saône,Le Colisée,"4,948"
ESSM Le Portel,Le Portel,Chaudron,"3,500"
Orléans Loiret Basket,Orléans,Palais des Sports,"3,222"
JDA Dijon Basket,Dijon,Palais des Sports Jean-Michel Geoffroy,"4,628"
JL Bourg-en-Bresse,Bourg-en-Bresse,Ekinox,"3,548"
Le Mans Sarthe Basket,Le Mans,Antarès,"6,023"
Limoges CSP,Limoges,Beaublanc,"5,516"
Metropolitans 92,Levallois-Perret,Palais des Sports Marcel Cerdan,"3,051"
Nanterre 92,Nanterre,Palais des Sports / Halle Georges Carpentier,"3,000 / 5,009"
Roanne,Roanne,Halle André Vacheresse,"5,020"
SIG Basket,Strasbourg,Rhénus Sport,"6,200"
