Year,Division Two,Division Three,Division Four
1987,Charlton Athletic,Swindon Town,Aldershot
1988,Middlesbrough,Walsall,Swansea City
1989,Crystal Palace,Port Vale,Leyton Orient
1990,Swindon Town,Notts County,Cambridge United
1991,Notts County,Tranmere Rovers,Torquay United
1992,Blackburn Rovers,Peterborough United,Blackpool
Year,Division One,Division Two,Division Three
1993,Swindon Town,West Bromwich Albion,York City
1994,Leicester City,Burnley,Wycombe Wanderers
1995,Bolton Wanderers,Huddersfield Town,Chesterfield
1996,Leicester City,Bradford City,Plymouth Argyle
1997,Crystal Palace,Crewe Alexandra,Northampton Town
1998,Charlton Athletic,Grimsby Town,Colchester United
1999,Watford,Manchester City,Scunthorpe United
2000,Ipswich Town,Gillingham,Peterborough United
2001,Bolton Wanderers,Walsall,Blackpool
2002,Birmingham City,Stoke City,Cheltenham Town
2003,Wolverhampton Wanderers,Cardiff City,Bournemouth
2004,Crystal Palace,Brighton & Hove Albion,Huddersfield Town
Year,Championship,League One,League Two
