Number,Recipient,Induction date,Profession,Comments,Location
1,Ozzy Osbourne,6 July 2007,Musician,Member of Black Sabbath,52°28′40″N 1°54′40″W / 52.47786°N 1.91099°W / 52.47786 ; -1.91099 ( Ozzy Osbourne )
2,Jasper Carrott,15 September 2007,Comedian,"Comedian , actor and television presenter",52°28′31″N 1°54′51″W / 52.47539°N 1.91416°W / 52.47539 ; -1.91416 ( Jasper Carrott )
3,Noddy Holder,9 December 2007,Musician,Member of Slade,52°28′37″N 1°54′43″W / 52.47706°N 1.91200°W / 52.47706 ; -1.91200 ( Noddy Holder ) Coordinates : 52°28′37″N 1°54′43″W / 52.47706°N 1.91200°W / 52.47706 ; -1.91200 ( Noddy Holder )
4,Murray Walker,28 June 2008,Sports commentator,BBC/ITV Formula One coverage,52°28′42″N 1°54′32″W / 52.47847°N 1.90880°W / 52.47847 ; -1.90880 ( Murray Walker )
5,The Archers,12 September 2008,Soap opera,Long-running BBC Radio 4 serial,52°28′42″N 1°54′35″W / 52.47825°N 1.90978°W / 52.47825 ; -1.90978 ( The Archers )
6,Norman Painting,12 September 2008,Actor,Voice of Phil Archer in The Archers,52°28′42″N 1°54′35″W / 52.47822°N 1.90985°W / 52.47822 ; -1.90985 ( Norman Painting )
7,Tony Iommi,23 November 2008,Musician,Member of Black Sabbath,52°28′42″N 1°54′36″W / 52.47827°N 1.91012°W / 52.47827 ; -1.91012 ( Tony Iommi )
8,Aston Villa F.C . 1982 Team,4 May 2009,Football team,1982 European Cup-winning team,52°28′41″N 1°54′38″W / 52.47810°N 1.91054°W / 52.47810 ; -1.91054 ( Aston Villa F.C . )
9,Tony 'Bomber ' Brown,17 May 2009,Footballer,Professional footballer from West Bromwich Albion F.C,52°28′39″N 1°54′42″W / 52.47739°N 1.91158°W / 52.47739 ; -1.91158 ( Tony Brown )
10,Frank Skinner,1 August 2009,Comedian,Co-Host of Fantasy Football League,52°28′38″N 1°54′41″W / 52.47727°N 1.91132°W / 52.47727 ; -1.91132 ( Frank Skinner )
11,Gil Merrick,September 2009,Footballer,Professional footballer from Birmingham City F.C,52°28′37″N 1°54′44″W / 52.47683°N 1.91230°W / 52.47683 ; -1.91230 ( Gil Merrick )
12,Ray Graydon,September 2009,Footballer,Former manager of Walsall F.C,52°28′43″N 1°54′32″W / 52.47848°N 1.90879°W / 52.47848 ; -1.90879 ( Ray Graydon )
13,Julie Walters,27 October 2009,Actress/Comedian,Star of Educating Rita & Harry Potter Films,52°28′28″N 1°54′57″W / 52.47434°N 1.91575°W / 52.47434 ; -1.91575 ( Julie Walters )
14,Gary Newbon,10 December 2009,Television journalism,Sports Reporter,52°28′42″N 1°54′32″W / 52.47845°N 1.90880°W / 52.47845 ; -1.90880 ( Gary Newbon )
15,Lenny Henry,19 December 2009,Actor/Comedian,Presenter of Tiswas,52°28′43″N 1°54′32″W / 52.47849°N 1.90879°W / 52.47849 ; -1.90879 ( Lenny Henry )
16,Beverley Knight,20 March 2010,Singer,,52°28′42″N 1°54′32″W / 52.47846°N 1.90880°W / 52.47846 ; -1.90880 ( Beverley Knight )
17,Joan Armatrading,4 May 2010,Singer,,52°28′42″N 1°54′35″W / 52.47828°N 1.90970°W / 52.47828 ; -1.90970 ( Joan Armatrading )
18,Chris Tarrant,August 2010,Broadcaster,Host of Who Wants To Be A Millionaire,52°28′42″N 1°54′33″W / 52.47841°N 1.90921°W / 52.47841 ; -1.90921 ( Chris Tarrant )
19,Birmingham Royal Ballet,September 2010,Dance,,52°28′42″N 1°54′34″W / 52.47844°N 1.90947°W / 52.47844 ; -1.90947 ( Birmingham Royal Ballet )
20,David Bintley,September 2010,Dance,,52°28′42″N 1°54′34″W / 52.47842°N 1.90955°W / 52.47842 ; -1.90955 ( David Bintley )
