Year,Finals top scorer,Club,Points scored
1965 *,Wlamir Marques,Corinthians,40
1966,Giovanni Gavagnin,Ignis Varese,20
1967,Tony Gennari,Ignis Varese,25
1968,Miles Aiken,Real Madrid,23
1969,Jan Bobrovský,Spartak ZJŠ Brno,34
1970,Jiří Zídek Sr,Slavia VŠ Praha,20
1972 *,Roberto Robertão José Corrêa,Brazil,20
1973,Arturo Guerrero,Sírio,26
1974,John Lucas II & Bob Morse,Maryland Terrapins & Ignis Varese,24
1975,Wayne Brabender,Real Madrid,24
1976,Rafael Rullán,Real Madrid,23
1977,Walter Szczerbiak Sr,Real Madrid,29
1978,John Coughran,Real Madrid,26
1979,Oscar Schmidt,Sírio,42
1980,Earl Williams,Maccabi Elite Tel Aviv,28
1981,Mirza Delibašić,Real Madrid,33
1982,Antonello Riva & Dan Cramer,Ford Cantù & Nashua EBBC,22
1983,Antonello Riva,Jollycolombani Cantù,28
1984,Ray Townsend,Banco Roma,29
1985,Juan Antonio San Epifanio Epi,FC Barcelona,39
