Year,Title,Role,Director,Notes
1957,Les Collégiennes [ fr ],Schoolgirl,André Hunebelle,Credited as Catherine Dorléac
1960,Les Petits Chats [ fr ],-,Jacques R. Villa [ fr ],
1960,L'Homme à femmes [ fr ],Catherine,Jacques-Gérard Cornu [ fr ],
1960,Les Portes claquent [ fr ],Dany,Michel Fermaud Jacques Poitrenaud,
1962,Ça c'est la vie [ fr ],-,Claude Choublier,Short film
1962,Tales of Paris,Sophie,Marc Allégret,French : Les Parisiennes
1962,And Satan Calls the Turns,Manuelle,Grisha Dabat [ fr ],French : Et Satan conduit le bal
1963,Vice and Virtue,Justine Morand,Roger Vadim,French : Le Vice et la Vertu
1963,Portuguese Vacation,Catherine,Pierre Kast,French : Vacances portugaises
1964,The Umbrellas of Cherbourg,Geneviève Emery,Jacques Demy,French : Les Parapluies de Cherbourg
1964,The World 's Most Beautiful Swindlers,Swindler,Claude Chabrol,French : Les Plus belles escroqueries du monde
1964,Male Hunt,Denise,Édouard Molinaro,French : La Chasse à l'homme
1964,Male Companion,Isabelle,Philippe de Broca,French : Un monsieur de compagnie
1964,La costanza della ragione,Lori,Pasquale Festa Campanile,
1965,Repulsion,Carol Ledoux,Roman Polanski,Nominated - New York Film Critics Circle Award for Best Actress
1965,Who Wants to Sleep ?,Angela Claasen,Rolf Thiele Axel von Ambesser Alfred Weidenmann,German : Das Liebeskarussell
1965,Le Chant du monde,Clara,Marcel Camus,
1966,A Matter of Resistance,Marie,Jean-Paul Rappeneau,French : La Vie de château
1966,Les Créatures,Mylène,Agnès Varda,
1967,The Young Girls of Rochefort,Delphine Garnier,Jacques Demy,French : Les Demoiselles de Rochefort
