Club,City,Province,Stadium
Acassuso,Boulogne,Buenos Aires,Estadio La Quema
Almagro,José Ingenieros,Buenos Aires,Estadio Tres de Febrero
Almirante Brown,Isidro Casanova,Buenos Aires,Fragata Presidente Sarmiento
Atlanta,Buenos Aires,( autonomous city ),Don León Kolbovski
Barracas Central,Buenos Aires,( autonomous city ),Estadio Barracas Central
Brown de Adrogué,Adrogué,Buenos Aires,Estadio Lorenzo Arandilla
Chacarita Juniors,Villa Maipú,Buenos Aires,Chacarita Juniors
Colegiales,Munro,( Buenos Aires ),Estadio Bajo Munro
Comunicaciones,Buenos Aires,( autonomous city ),Estadio Alfredo Ramos
Defensores de Belgrano,Buenos Aires,( autonomous city ),Estadio Juan Pasquale
Deportivo Armenio,Ingeniero Maschwitz,Buenos Aires,Estadio Armenia
Deportivo Español,Buenos Aires,( autonomous city ),Estadio Nueva España
Deportivo Merlo,Parque San Martín,Buenos Aires,José Manuel Moreno
Deportivo Morón,Morón,Buenos Aires,Estadio Francisco Urbano
Estudiantes ( BA ),Caseros,Buenos Aires,Estadio Ciudad de Caseros
Fénix,Pilar,Buenos Aires,Estadio Municipal de Pilar
Los Andes,Lomas de Zamora,Buenos Aires,Estadio Eduardo Gallardón
Platense,Florida,Buenos Aires,Estadio Ciudad de Vicente López
Sportivo Italiano,Ciudad Evita,Buenos Aires,Estadio de Sportivo Italiano
Tristán Suárez,Tristán Suárez,Buenos Aires,Estadio 20 de Octubre Tristán Suárez
