Year,Champion,Score,Runner-Up
2005,Battle Creek Knights,124-121,Dayton Jets
2006,Elkhart Express,119-108 ( OT ),Columbus Cyclones
2007,Elkhart Express,113-109,Portland Chinooks
2008,Bellingham Slam,118-111,Elkhart Express
2009,Los Angeles Lightning,2-1 ( best-of 3 ),Oregon Waves
2010 Summer,Albany Legends,126-111,Bellingham Slam
2010 Winter,Kankakee County Soldiers,88-87,Gary Splash
2011,Vancouver Volcanoes,124-116,Edmonton Energy
2012,Bellingham Slam,142-109,Portland Chinooks
2013,Bellingham Slam,117-114,Vancouver Volcanoes
2014,Bellingham Slam,143-126,Vancouver Volcanoes
