Rank,Athlete,Nationality,Time
1,Ben Assou El Ghazi,Morocco,36:22.1
2,Derek Graham,Ireland,36:29.6
3,Tracy Smith,United States,36:32.2
4,Roy Fowler,England,36:41
5,Michel Jazy,France,36:50
6,Ron Hill,England,36:52
7,Tim Johnston,England,36:54
8,Mike Freary,England,36:55
9,Ahmed Zammel,Tunisia,36:55
10,Guy Texereau,France,37:04
11,Noel Tijou,France,37:04
12,Lachie Stewart,Scotland,37:11
13,Bernard Maroquin,France,37:14
14,Ian McCafferty,Scotland,37:20
15,Tim Briault,England,37:24
16,Jim Alder,Scotland,37:27
17,Guy Caillet,France,37:28
18,Ali Khamassi,Tunisia,37:28
19,Gerry North,England,37:30
20,Antonio Ambu,Italy,37:31
