Franchise,Most recent title,Division,Seasons since win
Charlotte Hornets,None,Southeast,29
Memphis Grizzlies,None,Southwest,24
Philadelphia 76ers,2000-01,Atlantic,18
Sacramento Kings,2002-03,Pacific,16
Minnesota Timberwolves,2003-04,Northwest,15
Brooklyn Nets,2005-06,Atlantic,13
Phoenix Suns,2006-07,Pacific,12
New Orleans Pelicans,2007-08,Southwest,11
Detroit Pistons,2007-08,Central,11
Dallas Mavericks,2009-10,Southwest,9
Los Angeles Lakers,2011-12,Pacific,7
Chicago Bulls,2011-12,Central,7
New York Knicks,2012-13,Atlantic,6
Indiana Pacers,2013-14,Central,5
Los Angeles Clippers,2013-14,Pacific,5
Atlanta Hawks,2014-15,Southeast,4
Oklahoma City Thunder,2015-16,Northwest,3
Boston Celtics,2016-17,Atlantic,2
San Antonio Spurs,2016-17,Southwest,2
Utah Jazz,2016-17,Northwest,2
