Games,Gold,Silver,Bronze
1948 St. Moritz details,Gretchen Fraser United States,Antoinette Meyer Switzerland,Erika Mahringer Austria
1952 Oslo details,Andrea Mead-Lawrence United States,Ossi Reichert Germany,Annemarie Buchner Germany
1956 Cortina d'Ampezzo details,Renée Colliard Switzerland,Regina Schöpf Austria,Yevgeniya Sidorova Soviet Union
1960 Squaw Valley details,Anne Heggtveit Canada,Betsy Snite United States,Barbara Henneberger United Team of Germany
1964 Innsbruck details,Christine Goitschel France,Marielle Goitschel France,Jean Saubert United States
1968 Grenoble details,Marielle Goitschel France,Nancy Greene Canada,Annie Famose France
1972 Sapporo details,Barbara Cochran United States,Danièle Debernard France,Florence Steurer France
1976 Innsbruck details,Rosi Mittermaier West Germany,Claudia Giordani Italy,Hanni Wenzel Liechtenstein
1980 Lake Placid details,Hanni Wenzel Liechtenstein,Christa Kinshofer West Germany,Erika Hess Switzerland
1984 Sarajevo details,Paoletta Magoni Italy,Perrine Pelen France,Ursula Konzett Liechtenstein
1988 Calgary details,Vreni Schneider Switzerland,Mateja Svet Yugoslavia,Christa Kinshofer West Germany
1992 Albertville details,Petra Kronberger Austria,Annelise Coberger New Zealand,Blanca Fernández Ochoa Spain
1994 Lillehammer details,Vreni Schneider ( 2 ) Switzerland,Elfi Eder Austria,Katja Koren Slovenia
1998 Nagano details,Hilde Gerg Germany,Deborah Compagnoni Italy,Zali Steggall Australia
2002 Salt Lake City details,Janica Kostelić Croatia,Laure Péquegnot France,Anja Pärson Sweden
2006 Turin details,Anja Pärson Sweden,Nicole Hosp Austria,Marlies Schild Austria
2010 Vancouver details,Maria Riesch Germany,Marlies Schild Austria,Šárka Záhrobská Czech Republic
2014 Sochi details,Mikaela Shiffrin United States,Marlies Schild Austria,Kathrin Zettel Austria
2018 Pyeongchang details,Frida Hansdotter Sweden,Wendy Holdener Switzerland,Katharina Gallhuber Austria
