Name,Population,Area ( km² ),District
Brno,"380,681",230,Brno-City District
Znojmo,"33,780",66,Znojmo District
Břeclav,"24,704",77,Břeclav District
Hodonín,"24,682",63,Hodonín District
Vyškov,"20,883",50,Vyškov District
Blansko,"20,572",45,Blansko District
Boskovice,"11,622",28,Blansko District
Kyjov,"11,218",30,Hodonín District
Veselí nad Moravou,"11,006",35,Hodonín District
Kuřim,"10,997",17,Brno-Country District
Ivančice,"9,742",48,Brno-Country District
Tišnov,"9,257",17,Brno-Country District
