Date,Co-Hosts,Guests/Segments
May 1,Regis Philbin & Kelly Ripa,Jennifer Garner and Broadway Week
May 4,Regis Philbin & Kelly Ripa,"Jonathan Rhys Meyers , Zachary Quinto , and Ciara"
May 5,Regis Philbin & Kelly Ripa,"LIVE ! in Miami , Nicole Richie , Dr. Ana Maria Polo , DJ Danny Daze and Regis visits some of the most legendary spots of Miami Beach then and now"
May 6,Regis Philbin & Kelly Ripa,"LIVE ! in Miami , Rob Lowe , 5th American Idol Finalist , Marlins Manatees , DJ Danny Daze and Kelly Goes Miami Wild"
May 7,Regis Philbin & Kelly Ripa,"LIVE ! in Miami , Eric Dane , Dancing with the Stars , DJ Danny Daze and Regis and Kelly Spoil Miami 's Moms"
May 8,Regis Philbin & Kelly Ripa,LIVE 's Mom 's Dream Come True Special
May 11,Regis Philbin & Kelly Ripa,"Eric Bana , 4th American Idol Finalist , and Winners Week"
May 12,Regis Philbin & Kelly Ripa,Tom Hanks and Winners Week
May 13,Regis Philbin & Kelly Ripa,"Ewan McGregor , Jewel , and Winners Week"
May 14,Regis Philbin & Kelly Ripa,"Jeff Probst , Winners Week"
May 15,Regis Philbin & Kelly Ripa,Nathan Lane and Winners Week
May 18,Regis Philbin & Kelly Ripa,Simon Baker and Survivor winner
May 19,Regis Philbin & Kelly Ripa,Ben Stiller and Jesse James
May 20,Regis Philbin & Kelly Ripa,Ricky Gervais and Dancing with the Stars
May 21,Regis Philbin & Kelly Ripa,Susan Sarandon and Dancing with the Stars
May 22,Regis Philbin & Kelly Ripa,Matthew Broderick and Bridget Regan
May 25,Kelly Ripa & Jimmy Kimmel,"Heidi & Spencer Pratt , and Chris Byrne"
May 26,Regis Philbin & Kelly Ripa,American Idol winner and Indianapolis 500 winner
May 27,Regis Philbin & Kelly Ripa,American Idol Runner-Up and Dr. Greg Yapalater
May 28,Regis Philbin & Kelly Ripa,American Idol 3rd Place and Jeff Daniels
