Call letters,Channel,Network ( s ),City and state,Meaning or notes
KDAF,32 PSIP 33,33.1 The CW 33.2 Antenna TV 32.3 This TV,"Dallas , Texas",D allas A nd F ort Worth
KDBC-TV,18 PSIP 4,4.1 CBS 4.2 MyNetworkTV / This TV,"El Paso , Texas",D oubleday B roadcasting C ompany
KDCK,21 PSIP 21,PBS,"Dodge City , Kansas","D odge C ity , K ansas"
KDCU-DT,31 PSIP 46,Univision,"Derby , Kansas",K ansas and D erby C ity U nivision
KDEN-TV,29 PSIP 25,Telemundo,"Longmont , Colorado",DEN ver ( also ICAO code for Denver International Airport )
KDFI,27 PSIP 27,MyNetworkTV,"Dallas , Texas","D allas- F ort Worth I ndependent TV . Sister station of KDFW , Dallas"
KDFW,35 PSIP/cable 4,Fox,"Dallas , Texas",D allas- F ort W orth
KDIN-TV,11 PSIP 11,PBS,"Des Moines , Iowa",D es Moines I owa Public N etwork
KDKA-TV,25 PSIP/cable 2,CBS,"Pittsburgh , Pennsylvania",Taken from sister radio station
KDKF,29 PSIP 31,ABC,"Klamath Falls , Oregon",The ( D ' ) K lamath F alls . Rebroadcasts KDRV Medford
KDLH,33 PSIP 3,3.1 CBS 33.2 The CW,"Duluth , Minnesota",D u L ut H . Digital subchannel 33.2 branded by its cable channel assignment on 2
KDLO-TV,3 PSIP 3,3.1 CBS 3.2 MyNetworkTV,"Florence , South Dakota",( See KCLO )
KDLT-TV,21 PSIP 46,46.1 NBC,"Sioux Falls , South Dakota",D akota- L and T elevision
KDLV-TV,26 PSIP 5,5.1 NBC,"Mitchell , South Dakota",D akota- L and V ( Roman numeral for 5 ) . Rebroadcasts KDLT Sioux Falls
KDMD,33 PSIP 33,33.1 ION Television 32.2 Telemundo,"Anchorage , Alaska",
KDMI,19 PSIP 56,This TV / MyNetworkTV,"Des Moines , Iowa","D es M oines , I owa"
KDNL-TV,31 PSIP 30,30.1 ABC,"St. Louis , Missouri","Originally an independent station ( 1969-86 ) , later a Fox affiliate ( 1986-95 )"
KDOC-TV,12 PSIP 56,56.1 Independent 32.3 MeTV,"Anaheim / Los Angeles , California","D ynamic O range C ounty . Digital subchannel 32.3 rebroadcasts KVME Orange , California"
KDOR-TV,36 PSIP 17,TBN,"Bartlesville , Oklahoma",
KDRV,12 PSIP 12,ABC,"Medford , Oregon",The ( D ) R ogue V alley
