Artist,Single,Released,Sales ( in millions )
Culture Club,Do You Really Want to Hurt Me,1982,6.5
The Archies,"Sugar , Sugar",1969,6
Brotherhood of Man,Save Your Kisses for Me,1976,6
Coolio featuring L.V,Gangsta 's Paradise,1995,6
Bing Crosby and The Andrews Sisters,Jingle Bells,1943,6
Vernon Dalhart,The Prisoner 's Song,1924,6
Dawn featuring Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,1973,6
Neil Diamond,Cracklin ' Rosie,1970,6
The Jackson 5,I Want You Back,1969,6
Janet Jackson,Together Again,1997,6
Jerry Lee Lewis,Whole Lotta Shakin ' Goin ' On,1957,6
Madonna,Vogue,1990,6
George Michael,Careless Whisper,1984,6
The New Seekers,I 'd Like to Teach the World to Sing ( In Perfect Harmony ),1971,6
Tony Orlando and Dawn,Knock Three Times,1970,6
Elvis Presley,Do n't Be Cruel,1956,6
Queen,Bohemian Rhapsody,1975,6
Harry Simeone Chorale,The Little Drummer Boy,1958,6
Simon & Garfunkel,Bridge over Troubled Water,1970,6
Bonnie Tyler,It 's a Heartache,1977,6
