Rank,Name,Nation
1,Natalia Krestianinova / Alexei Torchinski,Soviet Union
2,Svetlana Pristav / Viacheslav Tkachenko,Soviet Union
3,Jennifer Heurlin / John Frederiksen,United States
4,Oksana Kazakova / Andrei Mokhov,Soviet Union
5,Aimee Offner / Brian Helgenberg,United States
6,Nicole Sciarrotta / Gregory Sciarrotta Jr,United States
7,Caroline Haddad / Jean-Sébastien Fecteau,Canada
8,Allison Gaylor / John Robinson,Canada
9,Patricia Cardoso / Jean Francois Cote,Canada
10,Beata Szymłowska / Mariusz Siudek,Poland
11,Xie Maomao / Zhao Hongbo,China
12,Jasmin Schützenmeister / Jan Grüske-Weißenbach,Germany
13,Go Ok Ran / Kim Gwang Ho,North Korea
14,Victoria Pearce / Clive Shorten,United Kingdom
15,Leslie Monod / Cédric Monod,Switzerland
16,Silvia Martina / Claudio Fico,Italy
