Season,Event type,Location,Format,Date,Rank
2008,Grand Prix,Indianapolis,Sealed and Booster Draft,21-22 June 2008,2
2008,Nationals,Lithuania,Standard and Booster Draft,,3
2009,Grand Prix,Hanover,Extended,13-14 March 2009,2
2009,Grand Prix,Niigata,Sealed and Booster Draft,29-30 August 2009,7
2009,Grand Prix,Tampa Bay,Sealed and Booster Draft,24-25 October 2009,1
2011,Grand Prix,Denver,Sealed and Booster Draft,19-20 February 2011,1
2011,Pro Tour,Nagoya,Block Constructed and Booster Draft,10-12 June 2011,6
2012,Pro Tour,Barcelona,Block Constructed and Booster Draft,11-13 May 2012,2
2012-13,Grand Prix,Atlanta,Limited,30 June-1 July 2012,1
2014-15,Grand Prix,Nashville,Team Limited,1-2 November 2014,4
2014-15,Grand Prix,Atlantic City,Limited,9-10 May 2015,7
