Medal,Name,Sport,Event
Gold,Olga Pyleva,Biathlon,Women 's 10 km pursuit
Gold,Mikhail Ivanov,Cross-country skiing,Men 's 50 km classical
Gold,Yuliya Chepalova,Cross-country skiing,Women 's 1.5 km sprint
Gold,Alexei Yagudin,Figure skating,Men 's
Gold,"Elena Berezhnaya , Anton Sikharulidze",Figure skating,Pairs
Silver,Yuliya Chepalova,Cross-country skiing,Women 's 10 km classical
Silver,Evgeni Plushenko,Figure skating,Men 's
Silver,Irina Slutskaya,Figure skating,Ladies '
Silver,"Irina Lobacheva , Ilia Averbukh",Figure skating,Ice dance
Bronze,Viktor Maigourov,Biathlon,Men 's 20 km individual
Bronze,"Albina Akhatova , Svetlana Ishmouratova Galina Koukleva , Olga Pyleva",Biathlon,Women 's 4 x 7.5 km Relay
Bronze,Yuliya Chepalova,Cross-country skiing,Women 's 15 km freestyle mass start
Bronze,"Maxim Afinogenov , Ilya Bryzgalov Pavel Bure , Valeri Bure Pavel Datsyuk , Sergei Fedorov Sergei Gonchar , Darius Kasparaitis Nikolai Khabibulin , Ilya Kovalchuk Alexei Kovalev , Igor Kravchuk Oleg Kvasha , Igor Larionov Vladimir Malakhov , Daniil Markov Andrei Nikolishin , Yegor Podomatsky Sergei Samsonov , Alexei Yashin Alexei Zhamnov",Ice hockey,Men 's team
