Game,Year,Hardware,Publisher ( s )
DonPachi,1995,CAVE 68000,Atlus
DoDonPachi,1997,CAVE 68000,Atlus
Steep Slope Sliders,1998,Sega ST-V,Capcom
ESP Ra.De,1998,CAVE 68000,Atlus
Uo Poko,1998,CAVE 68000,Jaleco
Dangun Feveron / Fever S.O.S,1998,CAVE 68000,Nihon System
Guwange,1999,CAVE 68000,Atlus
Progear : Storm of Progear,2001,CPS2,Capcom
DoDonPachi DaiOuJou,2002,PGM,AMI
Ketsui : Kizuna Jigoku Tachi,2003,PGM,AMI
Espgaluda,2003,PGM,AMI
Mushihimesama,2004,CAVE CV1000B,AMI
Ibara,2005,CAVE CV1000B,AMI
Puzzle ! Mushihimetama,2005,CAVE CV1000B,AMI
Espgaluda II,2005,CAVE CV1000B,AMI
Ibara Kuro : Black Label,2006,CAVE CV1000B,AMI
Pink Sweets : Ibara Sorekara,2006,CAVE CV1000B,AMI
Mushihimesama Futari,2006,CAVE CV1000B,AMI
Muchi Muchi Pork !,2007,CAVE CV1000B,AMI
Deathsmiles,2007,CAVE CV1000B,AMI
