Club,Head coach,Captain,Kit manufacturer,Shirt sponsor
Global,Brian Reid,Yu Hoshide,LGR Athletic,Kia
Green Archers United,Rodolfo Alicante,Chieffy Caligdong,LGR Athletic,Globe Telecom
Kaya,David Perkovic,Anton del Rosario,LGR Athletic,"LBC Express , Inc"
Loyola Meralco Sparks,Vincent Santos,James Younghusband,LGR Athletic,Meralco
Manila Nomads,John Jofre,Randy Musters,AtletA,
Pachanga Diliman,Noel Marcaida,Yves Ashime,Mizuno,Victory Liner
PSG,Esmaeil Sedigh,Jaham Taher,LGR Athletic,Cord Epoxy
Philippine Air Force,Leo Alfred Jaena,Ian Araneta,,Philippine Air Force
Philippine Army,"Patricio Bumidang , Jr",Roel Gener,LGR Athletic,
Stallion FC,Ernie Nierras,Reuben Doctora Jr,Nike,Sta . Lucia Land Inc
