Rank,Name,Nation,Score,Event
1,Gabriella Papadakis / Guillaume Cizeron,France,226.61,2019 NHK Trophy
2,Gabriella Papadakis / Guillaume Cizeron,France,223.13,2019 World Team Trophy
3,Gabriella Papadakis / Guillaume Cizeron,France,222.65,2019 World Championships
4,Gabriella Papadakis / Guillaume Cizeron,France,222.24,2019 Internationaux de France
5,Victoria Sinitsina / Nikita Katsalapov,Russia,220.42,2020 European Championships
6,Gabriella Papadakis / Guillaume Cizeron,France,220.28,2020 European Championships
7,Gabriella Papadakis / Guillaume Cizeron,France,219.85,2019-20 Grand Prix Final
8,Gabriella Papadakis / Guillaume Cizeron,France,217.98,2019 European Championships
9,Gabriella Papadakis / Guillaume Cizeron,France,216.78,2018 Internationaux de France
10,Victoria Sinitsina / Nikita Katsalapov,Russia,215.20,2019 World Team Trophy
