Song title,Album ( s ),Year released,Original artist
Heroes,Free download,2006,"David Bowie , Brian Eno"
Out of Space,Cutt Off,2005,The Prodigy
Pictures of Matchstick Men,Shoot the Runner,2006,Status Quo
Runaway,Fire,2009,Del Shannon
Somebody to Love,Me Plus One,2007,Jefferson Airplane
The Sweet Escape,Radio 1 's Live Lounge - Volume 4,2009,Gwen Stefani
Too Much Too Young,Radio 1 Established 1967,2007,The Specials
Video Games,BBC Radio 1 's Live Lounge 2012,2012,Lana Del Rey
Sesame street/Good Vibrations,the Like A Version studio 2014,2014,Sesame Street theme/The Beach Boys
Crazy,live at some concerts,2014,Gnars Barkley
Ready or not,live at Edinburgh 2015,2014,The Fugees
People Are Strange,live at some concerts,... -2015,The Doors
Praise you,live at some concerts,... -2015,Fat Boy Slim
Word up,live at some concerts,2015,Cameo
Fancy,BBC Radio 1 's Live Lounge 2014,2014,Iggy Azelia
Ghostbusters,SiriusXM,2014,Ghostbusters film theme by Ray Parker
